,Index,timestamp,throttle_ref,yaw,pitch,roll,tof_measurement,accX,accY,accZ,altitude_ref,RC_data,mot_FL,mot_FR,mot_BL,mot_BR,KF_altitutde_est,KF_velocity_z_est,KF_alpha_est,KF_beta_est
0,1000,0,0.3535714285714286,-0.0612780261189971,-0.0587677850710304,0.0418403916880158,[nan],-0.1,-0.02,-1.05,-1,"5.010,0.082,0.050,1318.,0.622,0.644,0.139,0.995,16",1271.0,1322.0,1360.0,1318.0,0.0,0.0,0.0,0.0
1,1010,0.2222468329999998,0.3842857142857143,-0.0203993298835054,-0.0195952530867551,0.0402065468894552,[nan],0.13,-0.15,-0.98,-1,"5.010,0.133,0.080,1345.,0.622,0.645,0.139,0.995,16",1312.0,1344.0,1382.0,1348.0,0.0,0.0,0.0,0.0
2,1020,0.43398449999999755,0.3842857142857143,0.0,0.0,0.0600090036469538,[nan],-0.16,-0.03,-1.13,-1,"4.935,0.094,0.067,1345.,0.622,0.644,0.139,0.995,16",1319.0,1346.0,1372.0,1340.0,0.0,0.0,0.0,0.0
3,1030,0.6676655549999992,0.385,0.0405902962812434,0.0187871002443158,0.0604053665861998,[nan],0.01,-0.02,-0.98,-1,"5.010,0.065,0.039,1346.,0.622,0.644,0.139,0.995,16",1349.0,1320.0,1359.0,1355.0,0.0,0.0,0.0,0.0
4,1040,0.9076057589999991,0.385,0.0405902962812434,0.0187871002443158,0.0604053665861998,[nan],0.04,-0.07,-0.97,-1,"4.935,0.028,0.025,1346.,0.622,0.644,0.139,0.995,16",1340.0,1337.0,1358.0,1347.0,0.0,0.0,0.0,0.0
5,1050,1.1163547220000005,0.3785714285714286,0.0599970186447041,-0.0012000002880001,0.0399846738846122,[nan],-0.01,0.17,-1.04,-1,"5.010,0.072,0.011,1340.,0.622,0.644,0.139,0.995,16",1333.0,1319.0,1353.0,1373.0,0.4963346534778692,-0.2180923334180721,10.000083745060454,-9.809997820881213
6,1060,1.3252015360000016,0.4128571428571427,0.0604053665861998,0.0187871002443158,0.0405902962812434,[nan],-0.07,0.08,-1.1,-1,"5.010,0.103,0.032,1371.,0.622,0.645,0.139,0.995,16",1368.0,1351.0,1371.0,1392.0,0.4877482994413928,-0.6054770786735286,10.01730641746837,-9.809576037873718
7,1070,1.5374588510000002,0.4135714285714286,0.0812304180984913,0.0375507820837885,0.0615952719570521,[nan],0.04,-0.04,-1.09,-1,"5.010,0.094,0.047,1372.,0.622,0.644,0.139,0.995,16",1376.0,1345.0,1393.0,1372.0,0.4759029200112619,-1.1468501727587033,10.234693162352569,-9.80430933517807
8,1080,1.7491064069999993,0.4135714285714286,0.1016149542920866,0.0359176207637299,0.0819643463123584,[nan],-0.02,-0.03,-1.04,-1,"5.010,0.080,0.023,1372.,0.622,0.645,0.139,0.995,16",1375.0,1364.0,1379.0,1368.0,0.4690898328804683,-1.3720754415299616,13.763480667727954,-9.718780942908134
9,1090,1.9632475730000003,0.4142857142857143,0.1209150272943079,0.0375207059962283,0.0423543659464356,[nan],-0.1,0.08,-1.07,-1,"5.010,0.065,0.003,1372.,0.622,0.644,0.139,0.995,16",1358.0,1364.0,1384.0,1380.0,0.5727074457103777,-0.7806873502817543,16.8439512406879,-9.64402242631926
10,1100,2.179576220999998,0.4135714285714286,0.120282735024881,0.0187630647428174,0.021167270082132,[nan],-0.03,0.01,-1.02,-1,"5.010,0.142,0.053,1372.,0.621,0.644,0.139,0.995,16",1354.0,1349.0,1378.0,1405.0,0.627031822439527,-0.6025673574312864,18.15180742220329,-9.6125020197721
11,1110,2.3884159799999978,0.4135714285714286,0.1209150272943079,0.0375207059962283,0.0423543659464356,[nan],-0.05,0.06,-0.94,-1,"5.010,0.158,0.041,1372.,0.622,0.644,0.139,0.995,16",1378.0,1340.0,1377.0,1391.0,0.6530279470296582,-0.5237215624106433,19.197765812607564,-9.5872511510455
12,1120,2.6031348690000016,0.4142857142857143,0.1234620453525567,0.0961976855237392,0.0661434363736719,[nan],0.03,-0.0,-0.91,-1,"5.010,0.153,0.035,1372.,0.622,0.644,0.139,0.995,16",1402.0,1329.0,1355.0,1400.0,0.7525412345991543,-0.3668685645225378,19.77928834117036,-9.573075525999265
13,1130,2.8268889239999986,0.4128571428571427,0.1219300652712353,0.0774531022687241,0.0448372412216491,[nan],-0.07,-0.04,-1.04,-1,"5.010,0.103,0.084,1371.,0.622,0.644,0.139,0.995,16",1375.0,1341.0,1362.0,1409.0,0.7944245239650874,-0.405450785542878,20.13213999324828,-9.564448229293186
14,1140,3.033113684,0.4128571428571427,0.1225248825934793,0.0550445124060132,0.0835793392650756,[nan],-0.14,-0.11,-1.05,-1,"5.010,0.076,0.146,1371.,0.622,0.644,0.139,0.995,16",1385.0,1339.0,1363.0,1395.0,0.8118517078413485,-0.335621857967706,20.576436304254774,-9.553498367150771
15,1150,3.249951238999998,0.4128571428571427,0.1226323489975059,0.0314267749903882,0.1423256673755915,[nan],-0.14,0.0,-1.03,-1,"5.010,0.114,0.140,1371.,0.622,0.644,0.139,0.995,16",1380.0,1320.0,1398.0,1384.0,0.8304080275995547,-0.3121189813855034,20.82720536165892,-9.54724701003338
16,1160,3.4589863309999984,0.4128571428571427,0.1226323489975059,0.0314267749903882,0.1423256673755915,[nan],-0.12,-0.01,-1.0,-1,"5.010,0.116,0.095,1371.,0.622,0.644,0.139,0.995,16",1370.0,1344.0,1394.0,1375.0,0.810800136207975,-0.2881883739042438,21.06201691245053,-9.54121304488477
17,1170,3.6823293130000003,0.4128571428571427,0.1420060811093236,0.0328496022701392,0.1026446639461414,[nan],0.05,-0.04,-1.03,-1,"5.010,0.142,0.037,1371.,0.622,0.644,0.139,0.995,16",1341.0,1367.0,1405.0,1370.0,0.7948589878262755,-0.2846219798774614,21.244074212903644,-9.536600375734464
18,1180,3.8911322760000004,0.4135714285714286,0.1621081713388101,0.0765379969625714,0.0463840215923822,[nan],-0.17,-0.03,-1.05,-1,"5.010,0.136,0.035,1372.,0.622,0.645,0.139,0.995,16",1351.0,1381.0,1393.0,1358.0,0.764759191532338,-0.2819328795696367,21.395907289390827,-9.532880546069167
19,1190,4.100410737999997,0.4135714285714286,0.1822194513984389,0.0760683136279711,0.047151258311711,[nan],-0.11,-0.03,-0.97,-1,"4.935,0.141,0.026,1372.,0.622,0.644,0.139,0.995,16",1361.0,1350.0,1404.0,1371.0,0.8346861955631438,-0.1755006591224981,21.553916077356657,-9.529064662043016
20,1200,4.3098507569999995,0.4142857142857143,0.1829637712304348,0.0742430566208167,0.0671162798628929,[nan],-0.21,-0.0,-1.0,-1,"4.861,0.142,0.022,1372.,0.622,0.644,0.139,0.995,16",1373.0,1349.0,1387.0,1378.0,0.8686300236908827,-0.1906998565705716,21.67603981928292,-9.526127066093927
21,1210,4.534194108999998,0.415,0.1822194513984389,0.0760683136279711,0.047151258311711,[nan],-0.06,0.04,-0.97,-1,"4.935,0.181,-0.02,1373.,0.622,0.644,0.139,0.995,16",1379.0,1335.0,1380.0,1395.0,0.850526223348495,-0.1628164122617591,21.72082007194987,-9.52506200091358
22,1220,4.777497330999999,0.4071428571428573,0.1819006596585627,0.0978194866522839,0.0290355773032367,[nan],-0.06,0.07,-0.98,-1,"4.935,0.182,-0.03,1366.,0.622,0.644,0.139,0.995,16",1385.0,1331.0,1345.0,1400.0,0.8086807249553978,-0.1850291856591139,21.772370466077685,-9.523706726960311
23,1230,4.9987921449999995,0.4071428571428573,0.160773388158886,0.0997191898488267,0.0080400277592631,[nan],0.0,-0.06,-0.98,-1,"4.935,0.169,-0.03,1366.,0.621,0.644,0.139,0.995,16",1402.0,1306.0,1322.0,1432.0,0.7515937106428578,-0.2752236101844065,21.85437192927021,-9.521392896955742
24,1240,5.215233663999999,0.4442857142857143,0.1404513397101876,0.079824321513001,0.0056179184249553,[nan],-0.14,0.1,-1.05,-1,"5.010,0.112,0.013,1399.,0.622,0.644,0.139,0.995,16",1427.0,1341.0,1375.0,1447.0,0.6682570564961237,-0.0073045960332435,21.908121559791983,-9.519945494068049
25,1250,5.430633885999999,0.4428571428571427,0.1212824985423934,0.0363098576499711,0.0623342386434245,[nan],-0.07,-0.04,-1.15,-1,"5.010,0.107,0.031,1398.,0.622,0.645,0.139,0.995,16",1452.0,1310.0,1367.0,1461.0,0.6339847370599676,0.0507640690919151,21.888380484173563,-9.52006707755986
26,1260,5.6598179779999995,0.442142857142857,0.0812304180984913,0.0375507820837885,0.0615952719570521,[nan],0.01,0.04,-1.09,-1,"5.010,0.177,0.051,1397.,0.622,0.644,0.139,0.995,16",1427.0,1327.0,1384.0,1449.0,0.6217433101613308,0.0201462837781095,21.868068310710427,-9.52019671055688
27,1270,5.876032015,0.442142857142857,0.0633091251090447,0.077513429305227,0.0825773189473986,[nan],-0.04,-0.08,-1.1,-1,"4.935,0.177,0.061,1397.,0.622,0.644,0.139,0.995,16",1437.0,1335.0,1371.0,1442.0,0.65580191689843,0.0342317258676113,21.86103756337072,-9.520249218500256
28,1280,6.103084311,0.442142857142857,0.0632169620051617,0.0981422418899271,0.0632169620051617,[nan],-0.08,-0.1,-1.16,-1,"5.010,0.089,0.062,1397.,0.622,0.644,0.139,0.995,16",1415.0,1366.0,1372.0,1434.0,0.7336553878969198,0.1938694946288845,21.86294418494564,-9.520233830340011
29,1290,6.350043273999997,0.4407142857142856,0.0612167418079317,0.0381652402549241,0.0612167418079317,[nan],-0.05,0.01,-1.1,-1,"5.010,0.020,0.145,1396.,0.622,0.644,0.139,0.995,16",1402.0,1364.0,1374.0,1446.0,0.7569173698020123,0.1509531535162893,21.85388801617962,-9.52030890997954
