,Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis,timestamp
0,2024-03-15 16:44:35.983257,5.394,4.572000000000001,116.8,32.0,-4.082000000000001,2.064,2.846,0.0
10,2024-03-15 16:44:36.226605,5.593999999999999,4.858,120.4,29.8,-4.184,2.468,2.764,0.2433478832244873
20,2024-03-15 16:44:36.474588,5.2780000000000005,4.64,117.8,28.4,-4.098,2.172,2.502,0.4913308620452881
30,2024-03-15 16:44:36.733311,5.484,5.398000000000001,114.8,4.4,-4.904,2.254,0.45,0.750053882598877
40,2024-03-15 16:44:36.978033,5.35,4.726000000000001,119.0,28.0,-4.12,2.304,2.512,0.9947760105133057
50,2024-03-15 16:44:37.230850,4.878,4.516,115.8,13.4,-4.066,1.964,1.2,1.2475929260253906
60,2024-03-15 16:44:37.474418,5.0920000000000005,4.986,115.0,5.0,-4.516,2.106,0.48,1.4911608695983887
70,2024-03-15 16:44:37.722747,5.222,5.139999999999999,112.8,4.4,-4.728,2.018,0.424,1.739490032196045
80,2024-03-15 16:44:37.982584,5.258,5.0520000000000005,114.6,10.0,-4.5920000000000005,2.106,0.9399999999999998,1.9993269443511963
90,2024-03-15 16:44:38.229199,5.724,4.956,118.2,30.0,-4.3740000000000006,2.3280000000000003,2.8279999999999994,2.2459418773651123
100,2024-03-15 16:44:38.476151,6.706,6.194,118.6,22.4,-5.448,2.9520000000000004,2.56,2.492893934249878
110,2024-03-15 16:44:38.722391,6.816,6.299999999999999,119.2,22.4,-5.485999999999999,3.098,2.596,2.739133834838867
120,2024-03-15 16:44:38.996118,6.953999999999999,6.438,121.2,22.0,-5.498,3.338,2.616,3.0128610134124756
130,2024-03-15 16:44:39.237716,6.319999999999999,5.706,121.2,25.4,-4.876,2.954,2.648,3.2544589042663574
140,2024-03-15 16:44:39.472896,6.158,5.504,120.4,26.4,-4.736,2.794,2.754,3.4896390438079834
150,2024-03-15 16:44:39.725078,6.454000000000001,5.862,142.6,24.8,-3.434,3.138,2.672,3.741821050643921
160,2024-03-15 16:44:39.980722,6.004,5.334,120.8,27.2,-4.5680000000000005,2.752,2.752,3.997464895248413
170,2024-03-15 16:44:40.245683,5.442,4.674000000000001,118.8,30.8,-4.0920000000000005,2.2540000000000004,2.766,4.262425899505615
180,2024-03-15 16:44:40.476518,5.358,4.496,124.8,33.0,-3.676,2.5820000000000003,2.908,4.493260860443115
190,2024-03-15 16:44:40.744400,5.296,4.664,119.8,28.2,-4.052,2.298,2.488,4.76114296913147
200,2024-03-15 16:44:40.985760,5.994,5.424,119.6,22.8,-4.704,2.676,2.234,5.002502918243408
210,2024-03-15 16:44:41.239598,6.362,5.749999999999999,120.8,25.4,-4.932,2.898,2.7,5.256340980529785
220,2024-03-15 16:44:41.472633,6.378,5.63,128.4,28.2,-4.389999999999999,3.508,2.992,5.489375829696655
230,2024-03-15 16:44:41.724994,5.587999999999999,5.128,123.8,23.4,-4.256,2.856,2.194,5.741736888885498
240,2024-03-15 16:44:41.984010,5.8020000000000005,5.21,124.6,26.2,-4.287999999999999,2.932,2.496,6.000752925872803
250,2024-03-15 16:44:42.234304,6.082,5.595999999999999,124.4,23.2,-4.612,3.162,2.382,6.251046895980835
260,2024-03-15 16:44:42.473213,5.338,4.548,131.0,31.6,-3.426,2.986,2.772,6.489955902099609
270,2024-03-15 16:44:42.722345,5.076,4.192,128.2,34.2,-3.2920000000000003,2.582,2.854,6.73908805847168
280,2024-03-15 16:44:42.976021,5.658,4.901999999999999,135.8,29.8,-3.428,3.504,2.806,6.992763996124268
290,2024-03-15 16:44:43.224138,5.486,4.638,133.4,32.4,-3.382,3.162,2.9,7.240880966186523
300,2024-03-15 16:44:43.479577,5.484,4.716,132.8,30.8,-3.442,3.22,2.802,7.496320009231567
310,2024-03-15 16:44:43.725701,6.104,5.409999999999999,126.2,27.8,-4.356,3.192,2.8020000000000005,7.742444038391113
320,2024-03-15 16:44:43.973463,5.18,4.358,121.6,32.6,-3.714,2.268,2.782,7.990206003189087
330,2024-03-15 16:44:44.230661,5.779999999999999,5.042,124.4,29.2,-4.156000000000001,2.8440000000000003,2.822,8.247403860092163
340,2024-03-15 16:44:44.473079,5.894,5.166,125.2,28.8,-4.224,2.966,2.83,8.489821910858154
350,2024-03-15 16:44:44.722838,5.62,5.174000000000001,120.4,23.0,-4.459999999999999,2.6180000000000003,2.178,8.739580869674683
360,2024-03-15 16:44:44.978939,5.702,5.442,117.0,13.4,-4.843999999999999,2.474,1.3199999999999998,8.995682001113892
370,2024-03-15 16:44:45.250554,6.1240000000000006,5.774,116.6,16.8,-5.158,2.588,1.7580000000000002,9.26729702949524
380,2024-03-15 16:44:45.472222,5.404000000000001,5.146,116.2,13.4,-4.617999999999999,2.27,1.294,9.488965034484863
390,2024-03-15 16:44:45.725375,5.67,5.214,119.8,23.2,-4.523999999999999,2.59,2.218,9.742117881774902
400,2024-03-15 16:44:46.007677,5.882,5.218000000000001,120.2,27.4,-4.502000000000001,2.628,2.7019999999999995,10.024420022964478
410,2024-03-15 16:44:46.230949,5.818,5.132,122.4,28.0,-4.318,2.75,2.744,10.247691869735718
420,2024-03-15 16:44:46.506818,5.984,5.228,120.0,29.0,-4.5200000000000005,2.622,2.898000000000001,10.523561000823975
