,forecast,real_wind,residuals,t_plus_x
2023-09-25 16:49:00.225,1.007,1.007,0.0,1.007
2023-09-25 16:49:00.250,1.053,1.053,0.0,1.053
2023-09-25 16:49:00.275,1.11,1.11,0.0,1.11
2023-09-25 16:49:00.300,1.179,1.179,0.0,1.179
2023-09-25 16:49:00.325,1.276,1.276,0.0,1.276
2023-09-25 16:49:00.350,1.32,1.32,0.0,1.32
2023-09-25 16:49:00.375,1.356,1.356,0.0,1.356
2023-09-25 16:49:00.400,1.394,1.394,0.0,1.394
2023-09-25 16:49:00.425,1.419,1.419,0.0,1.419
2023-09-25 16:49:00.450,1.402,1.402,0.0,1.402
2023-09-25 16:49:00.475,1.386,1.386,0.0,1.386
2023-09-25 16:49:00.500,1.357,1.357,0.0,1.357
2023-09-25 16:49:00.525,1.327,1.327,0.0,1.327
2023-09-25 16:49:00.550,1.279,1.279,0.0,1.279
2023-09-25 16:49:00.575,1.168,1.168,0.0,1.168
2023-09-25 16:49:00.600,1.1,1.1,0.0,1.1
2023-09-25 16:49:00.625,1.047,1.047,0.0,1.047
2023-09-25 16:49:00.650,0.981,0.981,0.0,0.981
2023-09-25 16:49:00.675,1.2010701444997158,0.943,-0.2580701444997159,1.007
2023-09-25 16:49:00.700,1.2858046682580817,0.886,-0.3998046682580817,1.053
2023-09-25 16:49:00.725,1.439458674555544,0.865,-0.574458674555544,1.11
2023-09-25 16:49:00.750,1.369855227186541,0.835,-0.534855227186541,1.179
2023-09-25 16:49:00.775,1.304991300416403,0.825,-0.47999130041640314,1.276
2023-09-25 16:49:00.800,1.2312216704926033,0.822,-0.4092216704926034,1.32
2023-09-25 16:49:00.825,1.1054334234321734,0.855,-0.25043342343217345,1.356
2023-09-25 16:49:00.850,1.1968307745107225,0.892,-0.3048307745107225,1.394
2023-09-25 16:49:00.875,0.9562704724259491,0.917,-0.039270472425949055,1.419
2023-09-25 16:49:00.900,0.7623871302711623,0.94,0.1776128697288376,1.402
2023-09-25 16:49:00.925,0.8044966388577346,0.951,0.14650336114226536,1.386
2023-09-25 16:49:00.950,0.7205905108543879,1.011,0.29040948914561204,1.357
2023-09-25 16:49:00.975,0.935852600472855,1.008,0.072147399527145,1.327
2023-09-25 16:49:01.000,0.8237325418544954,1.048,0.22426745814550464,1.279
2023-09-25 16:49:01.025,0.7708852396217774,1.063,0.2921147603782226,1.168
2023-09-25 16:49:01.050,0.7705993759172094,1.068,0.29740062408279067,1.1
2023-09-25 16:49:01.075,0.7285104423709196,1.038,0.3094895576290805,1.047
2023-09-25 16:49:01.100,0.8559637747991136,1.003,0.14703622520088633,0.981
2023-09-25 16:49:01.125,0.7050585515462257,0.974,0.2689414484537743,0.943
2023-09-25 16:49:01.150,0.7138772698021575,0.933,0.21912273019784256,0.886
2023-09-25 16:49:01.175,0.7856002898995612,0.91,0.12439971010043882,0.865
2023-09-25 16:49:01.200,0.8891100978780533,0.888,-0.0011100978780532733,0.835
