Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
2024-04-24 11:47:39.756073,0.78,0.76,42.0,11.0,-0.51,-0.57,0.14
2024-04-24 11:47:39.762602,0.61,0.6,40.0,10.0,-0.38,-0.46,0.11
2024-04-24 11:47:39.787556,0.68,0.66,39.0,14.0,-0.42,-0.51,0.16
2024-04-24 11:47:39.817136,0.61,0.61,32.0,0.0,-0.33,-0.52,0.0
2024-04-24 11:47:39.838521,0.72,0.72,28.0,0.0,-0.34,-0.63,0.0
2024-04-24 11:47:39.862554,1.03,1.02,23.0,6.0,-0.39,-0.94,0.11
2024-04-24 11:47:39.888063,0.68,0.68,13.0,0.0,-0.15,-0.67,0.0
2024-04-24 11:47:39.912546,0.67,0.67,16.0,0.0,-0.18,-0.64,0.0
2024-04-24 11:47:39.938190,0.52,0.52,2.0,0.0,-0.02,-0.52,0.0
2024-04-24 11:47:39.964356,0.64,0.64,359.0,0.0,0.01,-0.64,0.0
2024-04-24 11:47:39.988077,0.53,0.53,357.0,0.0,0.03,-0.53,0.0
2024-04-24 11:47:40.012524,0.76,0.76,2.0,0.0,-0.03,-0.76,0.0
2024-04-24 11:47:40.037591,0.72,0.71,2.0,5.0,-0.03,-0.71,0.06
2024-04-24 11:47:40.065918,0.73,0.72,359.0,10.0,0.01,-0.72,0.13
2024-04-24 11:47:40.088750,0.75,0.75,354.0,0.0,0.07,-0.75,0.0
2024-04-24 11:47:40.112989,0.55,0.55,357.0,0.0,0.03,-0.54,0.0
2024-04-24 11:47:40.139711,0.82,0.81,358.0,9.0,0.02,-0.81,0.13
2024-04-24 11:47:40.163095,0.71,0.71,359.0,0.0,0.02,-0.71,0.0
2024-04-24 11:47:40.188076,0.69,0.69,357.0,0.0,0.03,-0.69,0.0
2024-04-24 11:47:40.213841,0.84,0.84,357.0,0.0,0.04,-0.84,0.0
2024-04-24 11:47:40.237871,1.09,1.07,358.0,11.0,0.04,-1.06,0.21
2024-04-24 11:47:40.262624,1.09,1.09,351.0,0.0,0.18,-1.07,0.0
2024-04-24 11:47:40.289753,1.05,1.05,360.0,0.0,0.01,-1.05,0.0
2024-04-24 11:47:40.317064,0.93,0.93,358.0,0.0,0.03,-0.93,0.0
2024-04-24 11:47:40.337574,1.04,1.04,359.0,0.0,0.01,-1.04,0.0
2024-04-24 11:47:40.362761,1.34,1.34,3.0,0.0,-0.06,-1.34,0.0
2024-04-24 11:47:40.389630,1.05,1.05,1.0,0.0,-0.02,-1.05,0.0
2024-04-24 11:47:40.412780,0.95,0.95,360.0,0.0,0.0,-0.95,0.0
2024-04-24 11:47:40.437553,0.98,0.98,1.0,0.0,-0.01,-0.98,0.0
2024-04-24 11:47:40.463167,0.94,0.94,1.0,0.0,-0.01,-0.94,0.0
2024-04-24 11:47:40.487954,1.02,1.01,359.0,10.0,0.01,-1.01,0.18
2024-04-24 11:47:40.513064,0.78,0.78,4.0,0.0,-0.05,-0.78,0.0
2024-04-24 11:47:40.537560,0.85,0.85,359.0,0.0,0.02,-0.85,0.0
2024-04-24 11:47:40.565669,0.93,0.93,356.0,0.0,0.06,-0.93,0.0
2024-04-24 11:47:40.587555,0.83,0.83,360.0,0.0,0.0,-0.83,0.0
2024-04-24 11:47:40.612660,0.83,0.83,357.0,0.0,0.04,-0.83,0.0
2024-04-24 11:47:40.638690,0.82,0.82,353.0,0.0,0.1,-0.82,0.0
2024-04-24 11:47:40.662567,0.98,0.98,355.0,0.0,0.09,-0.97,0.0
2024-04-24 11:47:40.687611,0.92,0.92,357.0,0.0,0.05,-0.92,0.0
2024-04-24 11:47:40.713928,0.83,0.83,357.0,0.0,0.04,-0.83,0.0
2024-04-24 11:47:40.737541,0.76,0.76,1.0,0.0,-0.01,-0.76,0.0
2024-04-24 11:47:40.763494,0.86,0.86,356.0,0.0,0.06,-0.86,0.0
2024-04-24 11:47:40.787541,0.95,0.93,352.0,12.0,0.13,-0.92,0.19
2024-04-24 11:47:40.815978,0.89,0.89,344.0,0.0,0.24,-0.85,0.0
2024-04-24 11:47:40.837515,0.84,0.84,1.0,0.0,-0.01,-0.84,0.0
2024-04-24 11:47:40.862810,0.85,0.85,356.0,0.0,0.06,-0.85,0.0
2024-04-24 11:47:40.889076,0.9,0.9,354.0,0.0,0.09,-0.89,0.0
2024-04-24 11:47:40.913138,0.84,0.84,359.0,0.0,0.02,-0.84,0.0
2024-04-24 11:47:40.937559,0.94,0.94,357.0,0.0,0.05,-0.94,0.0
2024-04-24 11:47:40.963065,0.79,0.79,358.0,0.0,0.02,-0.79,0.0
2024-04-24 11:47:40.988156,0.99,0.97,358.0,10.0,0.04,-0.97,0.17
2024-04-24 11:47:41.013011,0.84,0.84,358.0,0.0,0.02,-0.84,0.0
2024-04-24 11:47:41.037551,0.76,0.76,353.0,0.0,0.1,-0.76,0.0
2024-04-24 11:47:41.065656,0.95,0.95,358.0,0.0,0.04,-0.95,0.0
2024-04-24 11:47:41.089273,0.83,0.83,360.0,0.0,0.0,-0.83,0.0
2024-04-24 11:47:41.113741,0.87,0.87,360.0,0.0,0.01,-0.87,0.0
2024-04-24 11:47:41.138456,0.82,0.82,359.0,0.0,0.02,-0.82,0.0
2024-04-24 11:47:41.162557,0.86,0.86,1.0,0.0,-0.02,-0.86,0.0
2024-04-24 11:47:41.187571,0.93,0.93,359.0,0.0,0.01,-0.93,0.0
2024-04-24 11:47:41.213857,0.91,0.91,358.0,0.0,0.03,-0.91,0.0
2024-04-24 11:47:41.237728,1.11,1.11,3.0,0.0,-0.06,-1.11,0.0
2024-04-24 11:47:41.262518,1.02,1.02,1.0,0.0,-0.02,-1.02,0.0
2024-04-24 11:47:41.287597,1.14,1.14,2.0,0.0,-0.05,-1.14,0.0
2024-04-24 11:47:41.316066,1.08,1.08,1.0,0.0,-0.01,-1.08,0.0
2024-04-24 11:47:41.337529,1.23,1.23,6.0,0.0,-0.12,-1.22,0.0
2024-04-24 11:47:41.362797,1.3,1.3,9.0,0.0,-0.21,-1.29,0.0
2024-04-24 11:47:41.388350,1.44,1.44,12.0,0.0,-0.29,-1.42,0.0
2024-04-24 11:47:41.412691,1.42,1.41,13.0,6.0,-0.32,-1.37,0.16
2024-04-24 11:47:41.437529,1.52,1.51,15.0,7.0,-0.4,-1.45,0.18
