datetime,z,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-11 13:56:57.659734,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.682978,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.707154,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.730747,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.753458,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.776733,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.800215,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.823037,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.846073,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.869011,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.891721,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.914896,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.937598,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.960185,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:57.984231,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.006962,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.030800,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.057228,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.084184,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.110579,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.135519,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.158203,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.181704,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.205148,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.227884,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.251574,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.274292,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.296998,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.320306,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.343016,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.365798,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.388821,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.411522,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.434314,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.457205,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.479963,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.503076,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.525769,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.548344,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.571320,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.594075,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.617148,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.641843,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.664680,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.687472,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.710927,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.733649,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.756819,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.779431,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.802113,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.825041,nan,nan,0.0,0.0,20.0,-10.0,0.0
2024-04-11 13:56:58.847658,nan,nan,0.0,0.0,20.0,-10.0,0.0
