Index,Index_2,Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
0,2023-09-25 16:49:00.000000,2023-09-25 16:49:02.905168,0.87,0.87,255.2,0.0,0.834,0.206,0.0
5,2023-09-25 16:49:00.125000,2023-09-25 16:49:03.029844,1.144,1.12,250.2,8.8,1.034,0.398,0.178
10,2023-09-25 16:49:00.250000,2023-09-25 16:49:03.154494,1.496,1.462,235.4,12.0,1.172,0.844,0.304
15,2023-09-25 16:49:00.375000,2023-09-25 16:49:03.279138,1.276,1.258,222.2,6.0,0.82,0.9,0.144
20,2023-09-25 16:49:00.500000,2023-09-25 16:49:03.403786,0.924,0.906,235.6,8.6,0.716,0.512,0.128
25,2023-09-25 16:49:00.625000,2023-09-25 16:49:03.528431,0.806,0.77,232.2,12.0,0.6,0.448,0.158
30,2023-09-25 16:49:00.750000,2023-09-25 16:49:03.653100,0.978,0.958,252.2,8.2,0.904,0.296,0.108
35,2023-09-25 16:49:00.875000,2023-09-25 16:49:03.777693,1.038,1.034,268.0,2.0,1.022,0.042,0.046
40,2023-09-25 16:49:01,2023-09-25 16:49:03.902333,0.968,0.938,246.2,10.6,0.854,0.382,0.168
45,2023-09-25 16:49:01.125000,2023-09-25 16:49:04.027104,0.834,0.704,239.0,23.8,0.59,0.362,0.356
50,2023-09-25 16:49:01.250000,2023-09-25 16:49:04.151678,0.852,0.81,218.8,7.0,0.51,0.63,0.134
55,2023-09-25 16:49:01.375000,2023-09-25 16:49:04.276418,1.128,0.922,232.2,24.4,0.714,0.548,0.552
60,2023-09-25 16:49:01.500000,2023-09-25 16:49:04.401069,1.876,1.67,234.2,26.8,1.336,0.98,0.828
65,2023-09-25 16:49:01.625000,2023-09-25 16:49:04.525688,2.06,2.042,218.6,4.8,1.27,1.592,0.17
70,2023-09-25 16:49:01.750000,2023-09-25 16:49:04.650370,1.986,1.888,221.4,16.0,1.244,1.414,0.54
75,2023-09-25 16:49:01.875000,2023-09-25 16:49:04.775062,2.244,2.214,239.0,7.6,1.894,1.136,0.288
80,2023-09-25 16:49:02,2023-09-25 16:49:04.899726,2.118,2.118,248.4,0.0,1.968,0.778,0.0
85,2023-09-25 16:49:02.125000,2023-09-25 16:49:05.024471,2.364,2.336,236.6,8.2,1.938,1.282,0.344
90,2023-09-25 16:49:02.250000,2023-09-25 16:49:05.149115,2.26,2.228,235.8,9.8,1.816,1.268,0.376
95,2023-09-25 16:49:02.375000,2023-09-25 16:49:05.273824,2.73,2.682,234.0,9.8,2.152,1.578,0.452
100,2023-09-25 16:49:02.500000,2023-09-25 16:49:05.398598,2.778,2.752,237.4,8.0,2.304,1.488,0.374
105,2023-09-25 16:49:02.625000,2023-09-25 16:49:05.523282,2.694,2.672,241.0,6.6,2.334,1.298,0.3
110,2023-09-25 16:49:02.750000,2023-09-25 16:49:05.647971,2.6,2.588,242.2,4.8,2.286,1.202,0.218
115,2023-09-25 16:49:02.875000,2023-09-25 16:49:05.772719,2.222,2.194,232.6,9.2,1.718,1.334,0.358
120,2023-09-25 16:49:03,2023-09-25 16:49:05.897390,2.35,2.338,247.4,2.8,2.154,0.904,0.096
125,2023-09-25 16:49:03.125000,2023-09-25 16:49:06.022079,2.004,1.84,238.4,20.8,1.55,0.944,0.696
130,2023-09-25 16:49:03.250000,2023-09-25 16:49:06.146866,1.668,1.418,233.4,27.2,1.132,0.828,0.762
135,2023-09-25 16:49:03.375000,2023-09-25 16:49:06.271588,1.9,1.686,231.0,27.4,1.304,1.056,0.868
140,2023-09-25 16:49:03.500000,2023-09-25 16:49:06.396357,1.816,1.702,241.6,18.2,1.494,0.8,0.566
145,2023-09-25 16:49:03.625000,2023-09-25 16:49:06.521059,1.418,1.266,239.2,22.8,1.09,0.62,0.536
150,2023-09-25 16:49:03.750000,2023-09-25 16:49:06.645804,1.798,1.712,218.4,8.6,1.022,1.354,0.224
155,2023-09-25 16:49:03.875000,2023-09-25 16:49:06.770524,2.188,2.172,216.4,4.0,1.292,1.74,0.17
160,2023-09-25 16:49:04,2023-09-25 16:49:06.895268,2.188,2.176,216.4,2.4,1.298,1.736,0.112
165,2023-09-25 16:49:04.125000,2023-09-25 16:49:07.020042,1.726,1.68,218.4,8.0,1.044,1.312,0.254
170,2023-09-25 16:49:04.250000,2023-09-25 16:49:07.144809,0.97,0.97,239.4,0.0,0.656,0.66,0.0
175,2023-09-25 16:49:04.375000,2023-09-25 16:49:07.269530,1.94,1.94,212.6,0.0,1.03,1.638,0.0
180,2023-09-25 16:49:04.500000,2023-09-25 16:49:07.394286,2.068,2.054,216.0,3.0,1.208,1.66,0.106
185,2023-09-25 16:49:04.625000,2023-09-25 16:49:07.519042,2.402,2.396,207.6,1.8,1.104,2.118,0.09
190,2023-09-25 16:49:04.750000,2023-09-25 16:49:07.643914,1.944,1.944,211.6,0.0,1.016,1.654,0.0
195,2023-09-25 16:49:04.875000,2023-09-25 16:49:07.768587,1.602,1.504,221.0,12.8,0.97,1.134,0.336
200,2023-09-25 16:49:05,2023-09-25 16:49:07.893369,1.668,1.566,219.8,13.6,0.942,1.216,0.318
205,2023-09-25 16:49:05.125000,2023-09-25 16:49:08.018127,1.85,1.85,212.2,0.0,0.992,1.556,0.0
210,2023-09-25 16:49:05.250000,2023-09-25 16:49:08.142912,3.492,3.466,210.2,6.8,1.74,2.998,0.408
215,2023-09-25 16:49:05.375000,2023-09-25 16:49:08.267699,1.96,1.826,223.6,21.4,1.25,1.324,0.69
220,2023-09-25 16:49:05.500000,2023-09-25 16:49:08.392477,1.074,1.008,217.0,11.4,0.6,0.77,0.258
225,2023-09-25 16:49:05.625000,2023-09-25 16:49:08.517264,1.232,1.05,226.2,22.8,0.762,0.692,0.526
230,2023-09-25 16:49:05.750000,2023-09-25 16:49:08.642041,1.48,1.222,226.6,29.8,0.888,0.806,0.734
235,2023-09-25 16:49:05.875000,2023-09-25 16:49:08.766881,1.498,1.386,220.2,13.4,0.854,1.058,0.358
240,2023-09-25 16:49:06,2023-09-25 16:49:08.891604,1.952,1.868,221.8,12.8,1.236,1.394,0.422
245,2023-09-25 16:49:06.125000,2023-09-25 16:49:09.016393,1.38,1.35,217.6,5.2,0.824,1.064,0.134
250,2023-09-25 16:49:06.250000,2023-09-25 16:49:09.141244,1.412,1.328,221.4,12.6,0.866,0.986,0.3
255,2023-09-25 16:49:06.375000,2023-09-25 16:49:09.266013,1.324,1.236,220.2,12.8,0.798,0.932,0.306
260,2023-09-25 16:49:06.500000,2023-09-25 16:49:09.390821,1.856,1.824,222.8,8.0,1.244,1.326,0.262
265,2023-09-25 16:49:06.625000,2023-09-25 16:49:09.515657,1.946,1.916,220.4,4.8,1.232,1.462,0.14
270,2023-09-25 16:49:06.750000,2023-09-25 16:49:09.640409,2.34,2.282,232.6,11.6,1.774,1.398,0.454
275,2023-09-25 16:49:06.875000,2023-09-25 16:49:09.765214,2.22,2.108,229.0,17.4,1.598,1.372,0.654
280,2023-09-25 16:49:07,2023-09-25 16:49:09.890389,1.858,1.798,219.4,9.8,1.128,1.386,0.274
285,2023-09-25 16:49:07.125000,2023-09-25 16:49:10.014828,1.036,0.848,224.2,30.6,0.572,0.576,0.53
290,2023-09-25 16:49:07.250000,2023-09-25 16:49:10.139673,1.334,1.334,200.0,0.0,0.478,1.22,0.0
295,2023-09-25 16:49:07.375000,2023-09-25 16:49:10.264447,2.886,2.882,207.6,1.2,1.304,2.568,0.074
300,2023-09-25 16:49:07.500000,2023-09-25 16:49:10.389318,2.696,2.634,222.8,9.8,1.764,1.948,0.418
305,2023-09-25 16:49:07.625000,2023-09-25 16:49:10.514161,2.48,2.436,217.6,5.6,1.414,1.952,0.178
310,2023-09-25 16:49:07.750000,2023-09-25 16:49:10.638976,2.816,2.816,216.2,0.0,1.662,2.27,0.0
315,2023-09-25 16:49:07.875000,2023-09-25 16:49:10.763782,3.356,3.334,217.2,4.0,2.002,2.664,0.24
