Index_2,Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
2025-04-16 12:11:07.000,2025-04-16 12:11:06.999969,4.76,4.76,173.0,0.0,-0.56,4.72,0.0
2025-04-16 12:11:07.025,2025-04-16 12:11:07.024963,3.99,3.99,173.0,0.0,-0.46,3.97,0.0
2025-04-16 12:11:07.050,2025-04-16 12:11:07.049959,3.54,3.47,178.0,11.0,-0.13,3.47,0.7
2025-04-16 12:11:07.075,2025-04-16 12:11:07.074987,2.98,2.98,186.0,0.0,0.29,2.97,0.0
2025-04-16 12:11:07.100,2025-04-16 12:11:07.099982,3.22,3.19,182.0,7.0,0.08,3.19,0.4
2025-04-16 12:11:07.125,2025-04-16 12:11:07.124968,3.09,3.09,181.0,1.0,0.06,3.09,0.03
2025-04-16 12:11:07.150,2025-04-16 12:11:07.149962,4.18,4.18,187.0,0.0,0.47,4.16,0.0
2025-04-16 12:11:07.175,2025-04-16 12:11:07.174966,4.54,4.49,182.0,9.0,0.18,4.48,0.74
2025-04-16 12:11:07.200,2025-04-16 12:11:07.199952,3.99,3.99,187.0,0.0,0.49,3.96,0.0
2025-04-16 12:11:07.225,2025-04-16 12:11:07.224961,3.75,3.75,183.0,0.0,0.18,3.74,0.0
2025-04-16 12:11:07.250,2025-04-16 12:11:07.249963,4.51,4.51,186.0,0.0,0.46,4.49,0.0
2025-04-16 12:11:07.275,2025-04-16 12:11:07.274965,4.8,4.8,186.0,0.0,0.48,4.78,0.0
2025-04-16 12:11:07.300,2025-04-16 12:11:07.299951,3.87,3.87,181.0,0.0,0.06,3.87,0.0
2025-04-16 12:11:07.325,2025-04-16 12:11:07.324956,4.9,4.82,183.0,10.0,0.23,4.82,0.84
2025-04-16 12:11:07.350,2025-04-16 12:11:07.349960,4.19,4.19,191.0,0.0,0.79,4.12,0.0
2025-04-16 12:11:07.375,2025-04-16 12:11:07.374975,3.52,3.52,185.0,0.0,0.33,3.5,0.0
2025-04-16 12:11:07.400,2025-04-16 12:11:07.399989,3.38,3.38,186.0,0.0,0.34,3.37,0.0
2025-04-16 12:11:07.425,2025-04-16 12:11:07.424958,2.84,2.84,183.0,0.0,0.17,2.83,0.0
2025-04-16 12:11:07.450,2025-04-16 12:11:07.449954,3.24,3.17,185.0,13.0,0.26,3.16,0.71
2025-04-16 12:11:07.475,2025-04-16 12:11:07.474939,3.07,2.99,185.0,13.0,0.24,2.98,0.69
2025-04-16 12:11:07.500,2025-04-16 12:11:07.499971,3.37,3.37,197.0,0.0,0.97,3.23,0.0
2025-04-16 12:11:07.525,2025-04-16 12:11:07.524979,3.22,3.22,212.0,1.0,1.7,2.73,0.04
2025-04-16 12:11:07.550,2025-04-16 12:11:07.549972,3.18,3.18,198.0,0.0,0.97,3.02,0.0
2025-04-16 12:11:07.575,2025-04-16 12:11:07.574966,3.06,3.06,186.0,0.0,0.31,3.04,0.0
2025-04-16 12:11:07.600,2025-04-16 12:11:07.599964,3.27,3.27,174.0,0.0,-0.37,3.25,0.0
2025-04-16 12:11:07.625,2025-04-16 12:11:07.624978,2.29,2.29,178.0,0.0,-0.06,2.29,0.0
2025-04-16 12:11:07.650,2025-04-16 12:11:07.649969,2.34,2.34,194.0,4.0,0.57,2.27,0.15
2025-04-16 12:11:07.675,2025-04-16 12:11:07.674936,2.33,2.33,181.0,0.0,0.03,2.33,0.0
2025-04-16 12:11:07.700,2025-04-16 12:11:07.700004,2.58,2.58,183.0,0.0,0.14,2.58,0.0
2025-04-16 12:11:07.725,2025-04-16 12:11:07.724964,2.96,2.96,184.0,0.0,0.2,2.95,0.0
2025-04-16 12:11:07.750,2025-04-16 12:11:07.749962,3.1,3.07,182.0,8.0,0.1,3.06,0.46
2025-04-16 12:11:07.775,2025-04-16 12:11:07.774956,3.09,3.09,182.0,0.0,0.11,3.08,0.0
2025-04-16 12:11:07.800,2025-04-16 12:11:07.799951,3.25,3.21,178.0,9.0,-0.1,3.21,0.53
2025-04-16 12:11:07.825,2025-04-16 12:11:07.824961,3.7,3.7,183.0,0.0,0.17,3.7,0.0
2025-04-16 12:11:07.850,2025-04-16 12:11:07.849971,2.98,2.98,189.0,0.0,0.47,2.94,0.0
2025-04-16 12:11:07.875,2025-04-16 12:11:07.874961,4.04,4.04,185.0,0.0,0.39,4.02,0.0
2025-04-16 12:11:07.900,2025-04-16 12:11:07.899954,3.96,3.96,178.0,2.0,-0.17,3.96,0.12
2025-04-16 12:11:07.925,2025-04-16 12:11:07.924956,4.07,4.07,180.0,0.0,0.0,4.07,0.0
2025-04-16 12:11:07.950,2025-04-16 12:11:07.949950,4.66,4.66,183.0,0.0,0.23,4.65,0.0
2025-04-16 12:11:07.975,2025-04-16 12:11:07.974953,4.33,4.32,185.0,4.0,0.38,4.31,0.27
2025-04-16 12:11:08.000,2025-04-16 12:11:07.999956,4.43,4.42,179.0,2.0,-0.1,4.42,0.19
2025-04-16 12:11:08.025,2025-04-16 12:11:08.024958,5.07,5.07,172.0,1.0,-0.69,5.02,0.08
2025-04-16 12:11:08.050,2025-04-16 12:11:08.049952,4.46,4.32,181.0,14.0,0.09,4.32,1.09
2025-04-16 12:11:08.075,2025-04-16 12:11:08.074957,3.89,3.89,178.0,2.0,-0.16,3.89,0.11
2025-04-16 12:11:08.100,2025-04-16 12:11:08.099949,4.37,4.37,183.0,1.0,0.21,4.36,0.05
2025-04-16 12:11:08.125,2025-04-16 12:11:08.124953,4.52,4.51,185.0,3.0,0.36,4.5,0.22
2025-04-16 12:11:08.150,2025-04-16 12:11:08.149955,4.03,4.03,180.0,0.0,-0.01,4.03,0.02
2025-04-16 12:11:08.175,2025-04-16 12:11:08.174950,4.25,4.25,183.0,-1.0,0.22,4.24,-0.04
2025-04-16 12:11:08.200,2025-04-16 12:11:08.199954,4.3,4.3,183.0,1.0,0.19,4.3,0.07
2025-04-16 12:11:08.225,2025-04-16 12:11:08.224964,4.49,4.49,179.0,0.0,-0.11,4.49,0.0
2025-04-16 12:11:08.250,2025-04-16 12:11:08.249968,4.23,4.23,177.0,0.0,-0.25,4.22,0.0
2025-04-16 12:11:08.275,2025-04-16 12:11:08.274943,5.0,5.0,175.0,0.0,-0.45,4.98,0.0
2025-04-16 12:11:08.300,2025-04-16 12:11:08.299947,4.47,4.47,177.0,0.0,-0.21,4.46,0.0
2025-04-16 12:11:08.325,2025-04-16 12:11:08.324941,4.34,4.34,178.0,0.0,-0.12,4.33,0.0
2025-04-16 12:11:08.350,2025-04-16 12:11:08.349935,4.52,4.52,176.0,0.0,-0.33,4.5,0.0
2025-04-16 12:11:08.375,2025-04-16 12:11:08.374988,4.6,4.6,177.0,0.0,-0.28,4.6,0.0
2025-04-16 12:11:08.400,2025-04-16 12:11:08.399962,4.99,4.99,172.0,0.0,-0.65,4.95,0.0
2025-04-16 12:11:08.425,2025-04-16 12:11:08.424962,5.2,5.2,173.0,0.0,-0.61,5.16,0.0
2025-04-16 12:11:08.450,2025-04-16 12:11:08.449956,6.1,6.1,174.0,0.0,-0.61,6.07,0.0
2025-04-16 12:11:08.475,2025-04-16 12:11:08.474953,6.2,6.2,175.0,0.0,-0.52,6.18,0.0
2025-04-16 12:11:08.500,2025-04-16 12:11:08.499959,6.02,6.02,178.0,0.0,-0.22,6.02,0.0
2025-04-16 12:11:08.525,2025-04-16 12:11:08.524961,6.42,6.42,177.0,0.0,-0.35,6.41,0.0
2025-04-16 12:11:08.550,2025-04-16 12:11:08.549949,6.66,6.66,173.0,0.0,-0.77,6.62,0.0
2025-04-16 12:11:08.575,2025-04-16 12:11:08.574964,6.12,6.12,178.0,0.0,-0.26,6.11,0.0
2025-04-16 12:11:08.600,2025-04-16 12:11:08.600008,5.01,5.0,182.0,3.0,0.22,5.0,0.3
2025-04-16 12:11:08.625,2025-04-16 12:11:08.624989,3.91,3.88,181.0,-7.0,0.06,3.87,-0.48
2025-04-16 12:11:08.650,2025-04-16 12:11:08.649965,5.72,5.71,200.0,-2.0,1.94,5.37,-0.24
2025-04-16 12:11:08.675,2025-04-16 12:11:08.674957,4.95,3.56,181.0,-44.0,0.05,3.56,-3.43
2025-04-16 12:11:08.700,2025-04-16 12:11:08.699963,3.37,3.35,159.0,-7.0,-1.2,3.12,-0.39
