Index_2,Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
2025-04-16 12:11:07.225,2025-04-16 12:11:07.224961,3.804,3.789,181.2,2.8,0.06,3.775,0.187
2025-04-16 12:11:07.250,2025-04-16 12:11:07.249963,3.779,3.764,182.5,2.8,0.162,3.752,0.187
2025-04-16 12:11:07.275,2025-04-16 12:11:07.274965,3.86,3.845,183.8,2.8,0.256,3.833,0.187
2025-04-16 12:11:07.300,2025-04-16 12:11:07.299951,3.893,3.885,184.1,1.7,0.275,3.873,0.117
2025-04-16 12:11:07.325,2025-04-16 12:11:07.324956,4.085,4.069,183.8,2.7,0.269,4.058,0.201
2025-04-16 12:11:07.350,2025-04-16 12:11:07.349960,4.182,4.169,184.7,2.0,0.34,4.151,0.161
2025-04-16 12:11:07.375,2025-04-16 12:11:07.374975,4.225,4.212,185.1,1.9,0.367,4.192,0.158
2025-04-16 12:11:07.400,2025-04-16 12:11:07.399989,4.145,4.132,185.0,1.9,0.354,4.113,0.158
2025-04-16 12:11:07.425,2025-04-16 12:11:07.424958,3.975,3.967,185.1,1.0,0.353,3.948,0.084
2025-04-16 12:11:07.450,2025-04-16 12:11:07.449954,3.9,3.885,184.9,2.3,0.33,3.868,0.155
2025-04-16 12:11:07.475,2025-04-16 12:11:07.474939,3.832,3.809,185.1,3.6,0.336,3.792,0.224
2025-04-16 12:11:07.500,2025-04-16 12:11:07.499971,3.718,3.695,186.2,3.6,0.387,3.666,0.224
2025-04-16 12:11:07.525,2025-04-16 12:11:07.524979,3.56,3.537,188.8,3.7,0.509,3.461,0.228
2025-04-16 12:11:07.550,2025-04-16 12:11:07.549972,3.491,3.468,190.5,3.7,0.6,3.376,0.228
2025-04-16 12:11:07.575,2025-04-16 12:11:07.574966,3.307,3.292,190.8,2.7,0.608,3.198,0.144
2025-04-16 12:11:07.600,2025-04-16 12:11:07.599964,3.215,3.2,189.1,2.7,0.492,3.111,0.144
2025-04-16 12:11:07.625,2025-04-16 12:11:07.624978,3.092,3.077,188.4,2.7,0.453,2.99,0.144
2025-04-16 12:11:07.650,2025-04-16 12:11:07.649969,2.988,2.973,189.2,3.1,0.476,2.88,0.159
2025-04-16 12:11:07.675,2025-04-16 12:11:07.674936,2.937,2.922,189.0,3.1,0.462,2.83,0.159
2025-04-16 12:11:07.700,2025-04-16 12:11:07.700004,2.871,2.863,188.8,1.8,0.45,2.772,0.088
2025-04-16 12:11:07.725,2025-04-16 12:11:07.724964,2.86,2.86,188.7,0.5,0.446,2.769,0.019
2025-04-16 12:11:07.750,2025-04-16 12:11:07.749962,2.833,2.83,187.2,1.3,0.359,2.752,0.065
2025-04-16 12:11:07.775,2025-04-16 12:11:07.774956,2.82,2.817,184.2,1.2,0.2,2.787,0.061
2025-04-16 12:11:07.800,2025-04-16 12:11:07.799951,2.827,2.82,182.2,2.1,0.093,2.806,0.114
2025-04-16 12:11:07.825,2025-04-16 12:11:07.824961,2.891,2.884,181.9,2.1,0.079,2.872,0.114
2025-04-16 12:11:07.850,2025-04-16 12:11:07.849971,2.862,2.855,183.4,2.1,0.163,2.841,0.114
2025-04-16 12:11:07.875,2025-04-16 12:11:07.874961,3.037,3.03,184.1,2.1,0.208,3.014,0.114
2025-04-16 12:11:07.900,2025-04-16 12:11:07.899954,3.199,3.192,182.5,1.9,0.134,3.183,0.111
2025-04-16 12:11:07.925,2025-04-16 12:11:07.924956,3.373,3.366,182.4,1.9,0.131,3.357,0.111
2025-04-16 12:11:07.950,2025-04-16 12:11:07.949950,3.581,3.574,182.4,1.9,0.14,3.564,0.111
2025-04-16 12:11:07.975,2025-04-16 12:11:07.974953,3.718,3.71,182.5,2.3,0.158,3.7,0.138
2025-04-16 12:11:08.000,2025-04-16 12:11:07.999956,3.851,3.845,182.2,1.7,0.138,3.836,0.111
2025-04-16 12:11:08.025,2025-04-16 12:11:08.024958,4.049,4.043,181.2,1.8,0.058,4.03,0.119
2025-04-16 12:11:08.050,2025-04-16 12:11:08.049952,4.17,4.154,181.5,2.3,0.077,4.141,0.175
2025-04-16 12:11:08.075,2025-04-16 12:11:08.074957,4.189,4.173,181.0,2.5,0.044,4.16,0.186
2025-04-16 12:11:08.100,2025-04-16 12:11:08.099949,4.328,4.312,180.4,2.6,0.018,4.302,0.191
2025-04-16 12:11:08.125,2025-04-16 12:11:08.124953,4.376,4.359,180.4,2.9,0.015,4.35,0.213
2025-04-16 12:11:08.150,2025-04-16 12:11:08.149955,4.383,4.366,180.6,2.7,0.031,4.357,0.203
2025-04-16 12:11:08.175,2025-04-16 12:11:08.174950,4.401,4.384,180.9,2.6,0.053,4.374,0.199
2025-04-16 12:11:08.200,2025-04-16 12:11:08.199954,4.365,4.348,180.9,2.7,0.049,4.339,0.206
2025-04-16 12:11:08.225,2025-04-16 12:11:08.224964,4.381,4.365,180.3,2.3,0.0,4.357,0.179
2025-04-16 12:11:08.250,2025-04-16 12:11:08.249968,4.361,4.346,180.1,2.1,-0.015,4.337,0.16
2025-04-16 12:11:08.275,2025-04-16 12:11:08.274943,4.354,4.339,180.4,2.0,0.009,4.333,0.152
2025-04-16 12:11:08.300,2025-04-16 12:11:08.299947,4.355,4.354,180.0,0.6,-0.021,4.347,0.043
