datetime,z,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-17 11:57:18.828800,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:18.856975,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:18.880305,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:18.904791,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:18.932225,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:18.956477,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:18.980599,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.007574,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.035749,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.059867,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.083055,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.109758,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.132991,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.155980,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.183291,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.208860,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.232381,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.256437,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.280305,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.303577,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.329161,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.353246,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.376890,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.401334,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.424385,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.448134,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.471981,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.495023,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.519676,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.547062,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.570489,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.593594,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.618762,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.644633,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.668439,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.694549,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.717984,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.743367,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.769845,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.793561,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.817136,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.844615,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.874974,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.906286,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.929412,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.954537,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:19.983541,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.007429,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.030711,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.055114,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.084697,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.109265,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.133147,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.160132,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.183458,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.207243,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.236939,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.265446,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.290503,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.315366,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.342035,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.367030,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.390327,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.417254,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.445602,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.469199,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.494408,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.522620,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.546378,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.570098,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.596768,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.620149,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.644730,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.670532,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.701138,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.726673,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.751789,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.777686,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.805924,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.828914,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.852942,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.879390,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.902477,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.925688,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.951764,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.975803,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:20.999284,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.028690,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.051927,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.075163,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.100774,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.123922,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.146712,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.173127,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.196395,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.219937,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.246091,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.273642,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.297994,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.331635,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.366596,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.400188,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.428782,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.452936,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.476898,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.504619,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.528732,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.552210,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.581869,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.605806,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.630195,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.655291,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.679250,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.703257,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.728032,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.751921,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.775807,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.800911,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.824399,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.847562,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.872693,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.896053,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.920181,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.946333,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.970108,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:21.993215,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.023087,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.049771,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.073499,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.097088,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.120821,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.144003,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.169761,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.197133,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.221811,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.245574,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.272603,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.295739,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.319920,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.346970,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.371823,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.395029,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.421865,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.444994,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.470531,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.497371,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.521247,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.545670,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.573889,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.597928,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.621945,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.648247,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.671503,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.696614,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.722699,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.745722,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.769837,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.794553,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.817482,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.841193,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.867188,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.891024,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.914898,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.939319,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.963523,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:22.986879,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.011421,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.035812,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.060642,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.085906,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.109987,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.134244,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.158912,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.182486,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.205871,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.229501,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.256091,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.279275,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.302420,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.325494,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.348566,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.375786,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.399186,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.422219,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.448590,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.472291,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.496503,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.523064,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.547473,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.570552,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.596764,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.621262,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.645028,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.670182,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.697558,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.720611,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.745077,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.772442,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.795517,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.819178,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.848968,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.873208,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.897356,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.922743,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.945990,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.969625,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:23.992583,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.015917,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.048937,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.071935,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.102746,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.126603,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.150223,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.177784,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.200707,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.225177,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.252934,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.279638,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.308666,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.338286,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.366740,nan,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 11:57:24.391547,nan,nan,0.5,0.0,3.0,-1.0,0.0
