datetime,z_tof,z_bar,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-17 16:39:07.579918,nan,0.0,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.611860,nan,0.24076486585906723,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.641982,nan,0.24076486585906723,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.667981,nan,0.24076486585906723,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.692867,nan,0.12190983397369548,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.721103,nan,-0.02306700802491963,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.745303,nan,-0.02306700802491963,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.770829,nan,-0.02306700802491963,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.797416,nan,-0.02306700802491963,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.829014,nan,-0.1419100302510688,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.858045,nan,-0.1419100302510688,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.884420,nan,-0.010001066920737005,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.910674,nan,-0.010001066920737005,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.938289,nan,-0.010001066920737005,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.967335,nan,-0.010001066920737005,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:07.992739,nan,0.1088479600666091,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.017717,nan,-0.15498003847330882,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.044390,nan,0.1088479600666091,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.072840,nan,0.1088479600666091,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.097113,nan,-0.15498003847330882,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.121813,nan,-0.02306700802491963,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.150898,nan,-0.15498003847330882,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.180866,nan,-0.15498003847330882,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.208625,nan,-0.2868911313373442,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.234645,nan,-0.2868911313373442,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.264927,nan,-0.2868911313373442,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.293938,nan,-0.02306700802491963,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.318420,nan,-0.02306700802491963,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.343049,nan,-0.02306700802491963,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.370959,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.395652,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.419944,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.446081,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.471905,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.497314,nan,-0.15498003847330882,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.523974,nan,-0.16803965923093184,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.553468,nan,-0.16803965923093184,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.580347,nan,-0.16803965923093184,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.608678,nan,-0.4449254094842119,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.639237,nan,-0.5507075045336999,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.673013,nan,-0.4449254094842119,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.703993,nan,-0.4449254094842119,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.729048,nan,-0.5637793262513371,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:08.754293,nan,-0.41880028666989,nan,0.5,0.0,3.0,-1.0,0.0
