,Date_Time,Altitude,Reference_altitude,timestamp
0,2024-03-15 16:44:35.998847,,0.0,0.0
20,2024-03-15 16:44:36.102644,,0.0,0.10379695892333984
40,2024-03-15 16:44:36.203665,,0.0,0.2048180103302002
60,2024-03-15 16:44:36.292112,,0.0,0.29326510429382324
80,2024-03-15 16:44:36.397898,,0.0,0.3990509510040283
100,2024-03-15 16:44:36.493036,,0.0,0.4941890239715576
120,2024-03-15 16:44:36.613049,,0.0,0.6142020225524902
140,2024-03-15 16:44:36.714538,,0.0,0.715691089630127
160,2024-03-15 16:44:36.811632,,0.0,0.8127849102020264
180,2024-03-15 16:44:36.916602,,0.0,0.9177548885345459
200,2024-03-15 16:44:37.030485,,0.0,1.0316379070281982
220,2024-03-15 16:44:37.131479,,0.0,1.1326320171356201
240,2024-03-15 16:44:37.246586,,0.0,1.2477390766143799
260,2024-03-15 16:44:37.359240,,0.0,1.3603930473327637
280,2024-03-15 16:44:37.462827,,0.0,1.463979959487915
300,2024-03-15 16:44:37.565589,0.5,0.0,1.566741943359375
320,2024-03-15 16:44:37.665752,0.53,0.0,1.6669049263000488
340,2024-03-15 16:44:37.776168,0.565,0.0,1.7773211002349854
360,2024-03-15 16:44:37.891648,0.575,0.0,1.89280104637146
380,2024-03-15 16:44:37.997260,0.63,0.0,1.9984130859375
400,2024-03-15 16:44:38.104720,0.675,0.0,2.1058731079101562
420,2024-03-15 16:44:38.233294,0.685,0.0,2.2344470024108887
440,2024-03-15 16:44:38.357135,0.74,0.0,2.358288049697876
460,2024-03-15 16:44:38.484281,0.755,0.0,2.485434055328369
480,2024-03-15 16:44:38.614671,0.81,0.0,2.615823984146118
500,2024-03-15 16:44:38.743765,0.855,0.0,2.74491810798645
520,2024-03-15 16:44:38.869085,0.82,0.0,2.8702380657196045
540,2024-03-15 16:44:38.999636,0.84,0.0,3.000788927078247
560,2024-03-15 16:44:39.131239,0.805,0.0,3.132391929626465
580,2024-03-15 16:44:39.263241,0.82,0.0,3.2643940448760986
600,2024-03-15 16:44:39.395437,0.81,0.0,3.396589994430542
620,2024-03-15 16:44:39.528185,0.82,0.0,3.5293378829956055
640,2024-03-15 16:44:39.657650,0.755,0.0,3.6588029861450195
660,2024-03-15 16:44:39.784362,0.79,0.0,3.785515069961548
680,2024-03-15 16:44:39.913085,0.87,0.0,3.9142379760742188
700,2024-03-15 16:44:40.042912,0.88,0.0,4.044064998626709
720,2024-03-15 16:44:40.174777,0.85,0.0,4.175930023193359
740,2024-03-15 16:44:40.309692,0.815,0.0,4.310844898223877
760,2024-03-15 16:44:40.435425,0.815,0.0,4.436578035354614
780,2024-03-15 16:44:40.561097,0.84,0.0,4.5622498989105225
800,2024-03-15 16:44:40.689099,0.78,0.0,4.690252065658569
820,2024-03-15 16:44:40.816575,0.73,0.0,4.817728042602539
840,2024-03-15 16:44:40.943228,0.69,0.0,4.94438099861145
860,2024-03-15 16:44:41.067335,0.665,0.0,5.068487882614136
880,2024-03-15 16:44:41.193900,0.655,0.0,5.1950531005859375
900,2024-03-15 16:44:41.317142,0.625,0.0,5.318295001983643
920,2024-03-15 16:44:41.444650,0.645,0.0,5.445802927017212
940,2024-03-15 16:44:41.569367,0.655,0.0,5.570519924163818
960,2024-03-15 16:44:41.690757,0.65,0.0,5.691910028457642
980,2024-03-15 16:44:41.817419,0.635,0.0,5.818572044372559
1000,2024-03-15 16:44:41.944705,0.615,0.0,5.945858001708984
1020,2024-03-15 16:44:42.069710,0.745,0.0,6.0708630084991455
1040,2024-03-15 16:44:42.196868,0.79,0.0,6.198020935058594
1060,2024-03-15 16:44:42.327837,0.945,0.0,6.3289899826049805
1080,2024-03-15 16:44:42.461170,1.085,0.0,6.462322950363159
1100,2024-03-15 16:44:42.597006,1.165,0.0,6.598159074783325
1120,2024-03-15 16:44:42.737588,1.285,0.0,6.738740921020508
1140,2024-03-15 16:44:42.877257,1.485,0.0,6.87841010093689
1160,2024-03-15 16:44:43.029406,1.655,0.0,7.030559062957764
1180,2024-03-15 16:44:43.177533,1.82,0.0,7.178685903549194
1200,2024-03-15 16:44:43.334190,1.97,0.0,7.335342884063721
1220,2024-03-15 16:44:43.489102,2.175,0.0,7.490254878997803
1240,2024-03-15 16:44:43.646013,2.285,0.0,7.647166013717651
1260,2024-03-15 16:44:43.816511,2.4,0.0,7.817663908004761
1280,2024-03-15 16:44:44.004682,2.57,0.0,8.005835056304932
1300,2024-03-15 16:44:44.197835,2.705,0.0,8.19898796081543
1320,2024-03-15 16:44:44.384550,2.815,0.0,8.385703086853027
1340,2024-03-15 16:44:44.568796,2.9,0.0,8.56994891166687
1360,2024-03-15 16:44:44.806960,2.94,0.0,8.808113098144531
1380,2024-03-15 16:44:45.057369,2.975,0.0,9.05852198600769
1400,2024-03-15 16:44:45.309754,3.015,0.0,9.310906887054443
1420,2024-03-15 16:44:45.555655,3.12,0.0,9.55680799484253
1440,2024-03-15 16:44:45.781423,3.115,3.1,9.782576084136963
1460,2024-03-15 16:44:46.029564,3.045,3.1,10.030716896057129
1480,2024-03-15 16:44:46.265373,3.07,3.1,10.266525983810425
1500,2024-03-15 16:44:46.502091,3.07,3.1,10.503243923187256
1520,2024-03-15 16:44:46.749094,3.065,3.1,10.75024700164795
1540,2024-03-15 16:44:47.076555,3.17,3.1,11.077708005905151
1560,2024-03-15 16:44:47.329444,3.235,3.1,11.330596923828125
1580,2024-03-15 16:44:47.578593,3.23,3.1,11.579746007919312
1600,2024-03-15 16:44:47.843657,3.29,3.1,11.844810009002686
1620,2024-03-15 16:44:48.171960,3.125,3.1,12.173113107681274
1640,2024-03-15 16:44:48.422193,3.1,3.1,12.423346042633057
1660,2024-03-15 16:44:48.740020,3.135,3.1,12.741173028945923
1680,2024-03-15 16:44:49.034388,3.27,3.1,13.03554105758667
1700,2024-03-15 16:44:49.286337,3.33,3.1,13.287489891052246
1720,2024-03-15 16:44:49.651358,3.395,3.1,13.65251088142395
1740,2024-03-15 16:44:49.984454,3.435,3.1,13.985606908798218
1760,2024-03-15 16:44:50.248660,3.485,3.1,14.249813079833984
1780,2024-03-15 16:44:50.576636,3.56,3.1,14.577789068222046
1800,2024-03-15 16:44:50.913055,3.59,3.1,14.914207935333252
1820,2024-03-15 16:44:51.161451,3.545,3.1,15.162604093551636
1840,2024-03-15 16:44:51.478296,3.545,3.1,15.479449033737183
1860,2024-03-15 16:44:51.727603,3.48,3.1,15.728755950927734
1880,2024-03-15 16:44:51.976584,3.365,3.1,15.977736949920654
1900,2024-03-15 16:44:52.293650,3.015,3.1,16.29480290412903
1920,2024-03-15 16:44:52.543840,2.97,3.1,16.544992923736572
1940,2024-03-15 16:44:52.805169,3.0,3.1,16.80632209777832
1960,2024-03-15 16:44:53.091483,3.195,3.1,17.092636108398438
1980,2024-03-15 16:44:53.340168,3.34,3.1,17.341320991516113
2000,2024-03-15 16:44:53.586812,3.425,3.1,17.58796501159668
2020,2024-03-15 16:44:53.950920,3.51,3.1,17.952073097229004
2040,2024-03-15 16:44:54.322294,3.585,3.1,18.32344698905945
2060,2024-03-15 16:44:54.694395,3.585,3.1,18.695548057556152
2080,2024-03-15 16:44:55.053022,3.55,3.1,19.05417490005493
2100,2024-03-15 16:44:55.419638,3.55,3.1,19.420790910720825
2120,2024-03-15 16:44:55.759705,3.605,3.1,19.760858058929443
2140,2024-03-15 16:44:56.113075,3.505,3.1,20.114228010177612
2160,2024-03-15 16:44:56.479084,3.48,3.1,20.480237007141113
2180,2024-03-15 16:44:56.749662,3.355,3.1,20.75081491470337
2200,2024-03-15 16:44:57.031104,3.34,3.1,21.032257080078125
2220,2024-03-15 16:44:57.279027,3.32,3.1,21.280179977416992
2240,2024-03-15 16:44:57.561349,3.305,3.1,21.562501907348633
2260,2024-03-15 16:44:57.865968,3.395,3.1,21.86712098121643
2280,2024-03-15 16:44:58.108803,3.43,3.1,22.10995602607727
2300,2024-03-15 16:44:58.355863,3.38,3.1,22.35701608657837
2320,2024-03-15 16:44:58.627989,3.355,3.1,22.62914204597473
2340,2024-03-15 16:44:58.876576,3.455,3.1,22.877728939056396
2360,2024-03-15 16:44:59.202697,3.395,3.1,23.203850030899048
2380,2024-03-15 16:44:59.573356,3.385,3.1,23.574508905410767
2400,2024-03-15 16:44:59.837106,3.405,3.1,23.838258981704712
2420,2024-03-15 16:45:00.192988,3.41,3.1,24.194140911102295
2440,2024-03-15 16:45:00.441990,3.485,3.1,24.443142890930176
2460,2024-03-15 16:45:00.691155,3.515,3.1,24.692307949066162
2480,2024-03-15 16:45:00.936813,3.505,3.1,24.937966108322144
2500,2024-03-15 16:45:01.210863,3.505,3.1,25.212016105651855
2520,2024-03-15 16:45:01.456741,3.565,3.1,25.45789408683777
2540,2024-03-15 16:45:01.771951,3.48,3.1,25.773103952407837
2560,2024-03-15 16:45:02.019472,3.38,3.1,26.02062487602234
2580,2024-03-15 16:45:02.269677,3.225,3.1,26.270829916000366
2600,2024-03-15 16:45:02.516200,3.195,3.1,26.517353057861328
2620,2024-03-15 16:45:02.765173,3.19,3.1,26.76632595062256
2640,2024-03-15 16:45:03.010940,3.185,3.1,27.01209306716919
2660,2024-03-15 16:45:03.258568,3.195,3.1,27.259721040725708
2680,2024-03-15 16:45:03.506329,3.115,3.1,27.507482051849365
2700,2024-03-15 16:45:03.755362,3.15,3.1,27.75651502609253
2720,2024-03-15 16:45:04.026450,3.165,3.1,28.027602910995483
2740,2024-03-15 16:45:04.267814,3.14,3.1,28.268966913223267
2760,2024-03-15 16:45:04.515591,3.095,3.1,28.516743898391724
2780,2024-03-15 16:45:04.765087,3.17,3.1,28.766239881515503
2800,2024-03-15 16:45:05.014482,3.235,3.1,29.015635013580322
2820,2024-03-15 16:45:05.266864,3.34,3.1,29.268017053604126
2840,2024-03-15 16:45:05.585693,3.405,3.1,29.586845874786377
2860,2024-03-15 16:45:05.956330,3.335,3.1,29.957483053207397
2880,2024-03-15 16:45:06.260905,3.275,3.1,30.26205801963806
2900,2024-03-15 16:45:06.508953,3.205,3.1,30.510106086730957
2920,2024-03-15 16:45:06.758073,3.18,3.1,30.759226083755493
2940,2024-03-15 16:45:07.005956,3.15,3.1,31.00710892677307
2960,2024-03-15 16:45:07.269912,3.295,3.1,31.27106499671936
2980,2024-03-15 16:45:07.515902,3.305,3.1,31.51705503463745
3000,2024-03-15 16:45:07.760538,3.24,3.1,31.761691093444824
3020,2024-03-15 16:45:08.008402,3.28,3.1,32.00955510139465
3040,2024-03-15 16:45:08.256019,3.205,3.1,32.25717210769653
3060,2024-03-15 16:45:08.505241,3.175,3.1,32.506393909454346
3080,2024-03-15 16:45:08.751963,3.23,3.1,32.75311589241028
3100,2024-03-15 16:45:08.999441,3.33,3.1,33.00059390068054
3120,2024-03-15 16:45:09.247049,3.38,3.1,33.248202085494995
3140,2024-03-15 16:45:09.497164,3.38,3.1,33.49831700325012
3160,2024-03-15 16:45:09.744527,3.285,3.1,33.74568009376526
3180,2024-03-15 16:45:09.991065,3.17,3.1,33.992218017578125
3200,2024-03-15 16:45:10.240284,3.185,3.1,34.24143695831299
3220,2024-03-15 16:45:10.488235,3.255,3.1,34.48938798904419
3240,2024-03-15 16:45:10.735948,3.24,3.1,34.73710107803345
3260,2024-03-15 16:45:10.982478,3.3,3.1,34.983630895614624
3280,2024-03-15 16:45:11.232084,3.335,3.1,35.23323702812195
3300,2024-03-15 16:45:11.479921,3.25,3.1,35.48107409477234
3320,2024-03-15 16:45:11.726549,3.06,3.1,35.727701902389526
3340,2024-03-15 16:45:11.976345,2.885,3.1,35.977498054504395
3360,2024-03-15 16:45:12.175727,2.925,3.1,36.1768798828125
3380,2024-03-15 16:45:12.368001,2.88,3.1,36.36915397644043
3400,2024-03-15 16:45:12.553453,2.89,3.1,36.55460596084595
3420,2024-03-15 16:45:12.741690,2.895,3.1,36.74284291267395
3440,2024-03-15 16:45:12.931024,2.91,3.1,36.93217706680298
3460,2024-03-15 16:45:13.115011,2.925,3.1,37.11616396903992
3480,2024-03-15 16:45:13.300073,2.98,3.1,37.301225900650024
3500,2024-03-15 16:45:13.513516,2.995,3.1,37.5146689414978
3520,2024-03-15 16:45:13.761073,3.02,3.1,37.76222610473633
3540,2024-03-15 16:45:14.010674,3.15,3.1,38.01182699203491
3560,2024-03-15 16:45:14.258622,3.265,3.1,38.259774923324585
3580,2024-03-15 16:45:14.506076,3.295,3.1,38.50722908973694
