index,date_time,wind_speed,wind_speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
1,2023-09-12 22:02:05.318404,1.18,1.18,54.0,-2.0,-0.96,-0.7,-0.05
2,2023-09-12 22:02:05.343388,1.45,1.44,37.0,-4.0,-0.87,-1.15,-0.11
3,2023-09-12 22:02:05.368378,1.12,1.12,36.0,0.0,-0.66,-0.9,0.0
4,2023-09-12 22:02:05.393358,0.93,0.9,51.0,-15.0,-0.7,-0.56,-0.24
5,2023-09-12 22:02:05.418316,0.74,0.74,18.0,0.0,-0.23,-0.71,0.0
6,2023-09-12 22:02:05.443317,1.09,1.09,53.0,-2.0,-0.87,-0.65,-0.04
7,2023-09-12 22:02:05.468298,0.98,0.98,25.0,0.0,-0.41,-0.89,0.0
8,2023-09-12 22:02:05.493268,1.07,1.07,31.0,0.0,-0.55,-0.92,0.0
9,2023-09-12 22:02:05.518210,1.05,1.04,9.0,9.0,-0.16,-1.02,0.16
10,2023-09-12 22:02:05.543238,0.83,0.83,24.0,0.0,-0.34,-0.76,0.0
11,2023-09-12 22:02:05.568203,0.84,0.84,21.0,-2.0,-0.31,-0.78,-0.03
12,2023-09-12 22:02:05.593209,0.98,0.97,37.0,-4.0,-0.58,-0.78,-0.07
13,2023-09-12 22:02:05.618184,0.95,0.95,37.0,0.0,-0.57,-0.76,0.0
14,2023-09-12 22:02:05.643180,1.16,1.16,36.0,3.0,-0.68,-0.94,0.07
15,2023-09-12 22:02:05.668155,1.01,1.01,40.0,0.0,-0.65,-0.78,0.01
16,2023-09-12 22:02:05.693128,1.17,1.17,40.0,-4.0,-0.75,-0.9,-0.07
17,2023-09-12 22:02:05.718105,1.08,1.08,42.0,-1.0,-0.72,-0.8,-0.02
18,2023-09-12 22:02:05.743097,0.99,0.99,48.0,1.0,-0.74,-0.66,0.02
19,2023-09-12 22:02:05.768074,1.17,1.17,37.0,2.0,-0.71,-0.93,0.03
20,2023-09-12 22:02:05.793057,0.99,0.99,39.0,5.0,-0.62,-0.77,0.08
21,2023-09-12 22:02:05.818034,1.39,1.39,37.0,3.0,-0.83,-1.11,0.06
22,2023-09-12 22:02:05.843020,1.24,1.17,46.0,-20.0,-0.84,-0.81,-0.41
23,2023-09-12 22:02:05.867996,1.09,1.08,45.0,-3.0,-0.76,-0.77,-0.07
24,2023-09-12 22:02:05.894933,1.01,1.0,50.0,1.0,-0.77,-0.64,0.03
25,2023-09-12 22:02:05.917973,0.99,0.99,43.0,-3.0,-0.68,-0.72,-0.06
26,2023-09-12 22:02:05.943003,1.17,1.17,54.0,-3.0,-0.95,-0.68,-0.06
27,2023-09-12 22:02:05.967965,0.68,0.64,41.0,21.0,-0.42,-0.48,0.25
28,2023-09-12 22:02:05.992913,0.76,0.74,44.0,15.0,-0.51,-0.53,0.2
29,2023-09-12 22:02:06.017881,1.01,1.0,50.0,3.0,-0.77,-0.64,0.06
30,2023-09-12 22:02:06.042881,0.95,0.95,38.0,4.0,-0.58,-0.75,0.07
31,2023-09-12 22:02:06.067833,0.93,0.93,46.0,-2.0,-0.68,-0.64,-0.03
32,2023-09-12 22:02:06.092841,0.94,0.92,55.0,-12.0,-0.76,-0.52,-0.19
33,2023-09-12 22:02:06.117839,0.84,0.84,63.0,-6.0,-0.75,-0.38,-0.08
34,2023-09-12 22:02:06.142813,0.99,0.99,48.0,-4.0,-0.74,-0.66,-0.07
35,2023-09-12 22:02:06.167798,1.09,1.09,60.0,6.0,-0.94,-0.55,0.11
36,2023-09-12 22:02:06.192773,0.93,0.92,41.0,8.0,-0.6,-0.69,0.13
37,2023-09-12 22:02:06.217759,0.9,0.88,46.0,13.0,-0.63,-0.61,0.2
38,2023-09-12 22:02:06.242728,1.4,1.4,36.0,3.0,-0.81,-1.14,0.07
39,2023-09-12 22:02:06.267705,1.08,1.08,37.0,0.0,-0.65,-0.86,0.0
40,2023-09-12 22:02:06.292688,1.03,1.02,43.0,9.0,-0.7,-0.74,0.16
41,2023-09-12 22:02:06.317675,0.89,0.88,39.0,7.0,-0.56,-0.68,0.11
42,2023-09-12 22:02:06.342669,0.69,0.69,50.0,4.0,-0.53,-0.44,0.05
43,2023-09-12 22:02:06.367636,1.19,1.19,40.0,7.0,-0.76,-0.91,0.14
44,2023-09-12 22:02:06.392631,1.02,1.02,48.0,0.0,-0.75,-0.69,0.0
45,2023-09-12 22:02:06.417610,1.01,1.01,43.0,3.0,-0.69,-0.74,0.06
46,2023-09-12 22:02:06.442603,0.89,0.89,57.0,5.0,-0.75,-0.49,0.08
47,2023-09-12 22:02:06.467578,1.11,1.11,34.0,3.0,-0.62,-0.92,0.05
48,2023-09-12 22:02:06.492553,0.99,0.99,53.0,4.0,-0.79,-0.6,0.08
49,2023-09-12 22:02:06.517554,0.85,0.85,57.0,2.0,-0.71,-0.47,0.02
50,2023-09-12 22:02:06.542534,0.79,0.79,59.0,2.0,-0.67,-0.41,0.02
51,2023-09-12 22:02:06.567500,0.71,0.71,46.0,-1.0,-0.51,-0.5,-0.02
52,2023-09-12 22:02:06.592488,0.74,0.74,55.0,-2.0,-0.61,-0.42,-0.02
53,2023-09-12 22:02:06.617463,0.92,0.91,44.0,5.0,-0.63,-0.65,0.09
54,2023-09-12 22:02:06.642446,1.09,1.09,42.0,-0.0,-0.73,-0.81,-0.01
55,2023-09-12 22:02:06.667434,1.19,1.19,41.0,-2.0,-0.78,-0.9,-0.04
56,2023-09-12 22:02:06.692403,0.95,0.94,50.0,7.0,-0.72,-0.6,0.12
57,2023-09-12 22:02:06.717387,0.87,0.86,45.0,9.0,-0.61,-0.6,0.13
58,2023-09-12 22:02:06.742372,1.09,1.09,38.0,0.0,-0.67,-0.87,0.0
59,2023-09-12 22:02:06.767364,1.04,1.04,38.0,0.0,-0.64,-0.82,0.0
60,2023-09-12 22:02:06.792351,0.99,0.99,32.0,0.0,-0.52,-0.85,0.0
61,2023-09-12 22:02:06.817328,1.15,1.15,38.0,0.0,-0.71,-0.9,0.01
62,2023-09-12 22:02:06.842332,1.15,1.15,41.0,-3.0,-0.75,-0.87,-0.05
63,2023-09-12 22:02:06.867289,1.15,1.14,43.0,4.0,-0.78,-0.84,0.08
64,2023-09-12 22:02:06.892284,1.36,1.35,36.0,3.0,-0.8,-1.09,0.08
65,2023-09-12 22:02:06.917259,1.24,1.24,43.0,3.0,-0.84,-0.91,0.07
66,2023-09-12 22:02:06.942236,1.12,1.12,33.0,0.0,-0.61,-0.94,0.0
67,2023-09-12 22:02:06.967224,1.35,1.35,39.0,-2.0,-0.84,-1.05,-0.04
68,2023-09-12 22:02:06.992215,1.09,1.09,46.0,-2.0,-0.78,-0.75,-0.04
69,2023-09-12 22:02:07.017185,1.15,1.15,29.0,-1.0,-0.56,-1.01,-0.02
70,2023-09-12 22:02:07.042178,1.44,1.43,37.0,-9.0,-0.86,-1.14,-0.22
71,2023-09-12 22:02:07.067200,1.26,1.26,44.0,-3.0,-0.88,-0.9,-0.07
72,2023-09-12 22:02:07.092131,1.2,1.2,40.0,-0.0,-0.77,-0.92,-0.0
73,2023-09-12 22:02:07.117100,1.16,1.15,39.0,-4.0,-0.73,-0.9,-0.08
74,2023-09-12 22:02:07.142095,0.79,0.79,38.0,0.0,-0.48,-0.62,0.0
75,2023-09-12 22:02:07.167080,0.71,0.69,31.0,-15.0,-0.36,-0.59,-0.19
