Index,Index_2,Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
1,18:35:00.025000,2023-09-16 18:35:20.388485,1.11,1.11,347.0,0.0,0.25,-1.08,0.0
2,18:35:00.050000,2023-09-16 18:35:20.413538,1.44,1.44,4.0,0.0,-0.1,-1.44,0.0
3,18:35:00.075000,2023-09-16 18:35:20.438536,0.96,0.96,360.0,0.0,0.0,-0.96,0.0
4,18:35:00.100000,2023-09-16 18:35:20.463484,1.53,1.53,20.0,0.0,-0.53,-1.43,0.0
5,18:35:00.125000,2023-09-16 18:35:20.488497,1.87,1.87,18.0,0.0,-0.58,-1.78,0.0
6,18:35:00.150000,2023-09-16 18:35:20.513563,1.62,1.62,16.0,0.0,-0.45,-1.56,0.0
7,18:35:00.175000,2023-09-16 18:35:20.538530,1.39,1.39,12.0,0.0,-0.28,-1.36,0.0
8,18:35:00.200000,2023-09-16 18:35:20.563519,1.01,1.01,2.0,0.0,-0.03,-1.01,0.0
9,18:35:00.225000,2023-09-16 18:35:20.588535,1.5,1.5,4.0,0.0,-0.09,-1.5,0.0
10,18:35:00.250000,2023-09-16 18:35:20.613626,1.27,1.27,11.0,0.0,-0.24,-1.25,0.0
11,18:35:00.275000,2023-09-16 18:35:20.638554,1.0,1.0,1.0,0.0,-0.02,-1.0,0.0
12,18:35:00.300000,2023-09-16 18:35:20.663528,0.82,0.82,2.0,0.0,-0.04,-0.82,0.0
13,18:35:00.325000,2023-09-16 18:35:20.688565,0.79,0.79,357.0,0.0,0.03,-0.79,0.0
14,18:35:00.350000,2023-09-16 18:35:20.713647,0.74,0.74,7.0,0.0,-0.1,-0.74,0.0
15,18:35:00.375000,2023-09-16 18:35:20.738605,1.32,1.32,18.0,0.0,-0.42,-1.25,0.0
16,18:35:00.400000,2023-09-16 18:35:20.763582,0.33,0.33,19.0,0.0,-0.11,-0.31,0.0
17,18:35:00.425000,2023-09-16 18:35:20.788601,0.74,0.74,34.0,0.0,-0.42,-0.61,0.0
18,18:35:00.450000,2023-09-16 18:35:20.813699,1.24,1.24,28.0,0.0,-0.59,-1.09,0.0
19,18:35:00.475000,2023-09-16 18:35:20.838649,1.39,1.39,23.0,0.0,-0.55,-1.28,0.0
20,18:35:00.500000,2023-09-16 18:35:20.863628,0.48,0.48,90.0,0.0,-0.48,0.0,0.0
21,18:35:00.525000,2023-09-16 18:35:20.893102,0.42,0.42,86.0,0.0,-0.42,-0.03,0.0
22,18:35:00.550000,2023-09-16 18:35:20.913661,0.23,0.23,94.0,0.0,-0.23,0.02,0.0
23,18:35:00.575000,2023-09-16 18:35:20.938684,0.57,0.43,43.0,41.0,-0.29,-0.31,0.38
24,18:35:00.600000,2023-09-16 18:35:20.963672,1.14,0.43,61.0,68.0,-0.38,-0.21,1.05
25,18:35:00.625000,2023-09-16 18:35:20.988676,0.6,0.6,71.0,0.0,-0.56,-0.2,0.0
26,18:35:00.650000,2023-09-16 18:35:21.013778,1.27,0.6,133.0,62.0,-0.44,0.41,1.12
27,18:35:00.675000,2023-09-16 18:35:21.038725,0.36,0.36,353.0,0.0,0.05,-0.35,0.0
28,18:35:00.700000,2023-09-16 18:35:21.063713,0.42,0.42,358.0,0.0,0.01,-0.42,0.0
29,18:35:00.725000,2023-09-16 18:35:21.088689,0.53,0.53,23.0,0.0,-0.21,-0.48,0.0
30,18:35:00.750000,2023-09-16 18:35:21.113771,0.56,0.56,31.0,0.0,-0.29,-0.48,0.0
31,18:35:00.775000,2023-09-16 18:35:21.138715,0.59,0.59,8.0,0.0,-0.08,-0.58,0.0
32,18:35:00.800000,2023-09-16 18:35:21.163713,1.29,0.34,65.0,75.0,-0.31,-0.15,1.24
33,18:35:00.825000,2023-09-16 18:35:21.188747,1.44,0.57,115.0,67.0,-0.51,0.25,1.33
34,18:35:00.850000,2023-09-16 18:35:21.213783,0.14,0.14,74.0,0.0,-0.13,-0.04,0.0
35,18:35:00.875000,2023-09-16 18:35:21.238766,0.1,0.1,150.0,0.0,-0.05,0.08,0.0
36,18:35:00.900000,2023-09-16 18:35:21.263741,1.11,1.11,33.0,0.0,-0.61,-0.93,0.0
37,18:35:00.925000,2023-09-16 18:35:21.288743,0.23,0.23,3.0,0.0,-0.01,-0.23,0.0
38,18:35:00.950000,2023-09-16 18:35:21.313901,0.52,0.52,331.0,0.0,0.25,-0.45,0.0
39,18:35:00.975000,2023-09-16 18:35:21.338776,0.99,0.99,15.0,0.0,-0.25,-0.96,0.0
40,18:35:01,2023-09-16 18:35:21.363790,1.26,1.26,357.0,0.0,0.07,-1.26,0.0
41,18:35:01.025000,2023-09-16 18:35:21.388764,1.79,1.79,8.0,0.0,-0.25,-1.78,0.0
42,18:35:01.050000,2023-09-16 18:35:21.413890,1.0,0.79,40.0,38.0,-0.5,-0.61,0.61
43,18:35:01.075000,2023-09-16 18:35:21.438819,2.04,2.04,13.0,0.0,-0.45,-1.99,0.0
44,18:35:01.100000,2023-09-16 18:35:21.463786,0.87,0.87,1.0,0.0,-0.01,-0.87,0.0
45,18:35:01.125000,2023-09-16 18:35:21.488923,0.85,0.85,34.0,0.0,-0.47,-0.7,0.0
46,18:35:01.150000,2023-09-16 18:35:21.513864,1.11,1.11,360.0,0.0,0.01,-1.11,0.0
47,18:35:01.175000,2023-09-16 18:35:21.538861,1.19,1.19,360.0,0.0,0.01,-1.19,0.0
48,18:35:01.200000,2023-09-16 18:35:21.563810,1.22,1.22,1.0,0.0,-0.01,-1.22,0.0
49,18:35:01.225000,2023-09-16 18:35:21.588833,1.01,1.01,3.0,0.0,-0.05,-1.01,0.0
50,18:35:01.250000,2023-09-16 18:35:21.613948,1.05,1.05,360.0,0.0,0.01,-1.05,0.0
51,18:35:01.275000,2023-09-16 18:35:21.638895,1.3,1.3,347.0,0.0,0.28,-1.27,0.0
52,18:35:01.300000,2023-09-16 18:35:21.663890,1.54,1.54,335.0,0.0,0.65,-1.39,0.0
53,18:35:01.325000,2023-09-16 18:35:21.688892,1.47,1.47,339.0,0.0,0.53,-1.37,0.0
54,18:35:01.350000,2023-09-16 18:35:21.714055,1.44,1.44,330.0,0.0,0.73,-1.25,0.0
55,18:35:01.375000,2023-09-16 18:35:21.738928,1.41,1.41,353.0,0.0,0.17,-1.4,0.0
56,18:35:01.400000,2023-09-16 18:35:21.763896,1.46,1.46,354.0,0.0,0.16,-1.46,0.0
57,18:35:01.425000,2023-09-16 18:35:21.788916,1.67,1.67,359.0,0.0,0.04,-1.67,0.0
58,18:35:01.450000,2023-09-16 18:35:21.814023,1.91,1.91,357.0,0.0,0.09,-1.91,0.0
59,18:35:01.475000,2023-09-16 18:35:21.838909,1.61,1.61,3.0,0.0,-0.07,-1.61,0.0
60,18:35:01.500000,2023-09-16 18:35:21.863925,1.69,1.69,359.0,0.0,0.04,-1.69,0.0
61,18:35:01.525000,2023-09-16 18:35:21.888929,1.77,1.77,1.0,0.0,-0.03,-1.77,0.0
62,18:35:01.550000,2023-09-16 18:35:21.914058,1.9,1.9,356.0,0.0,0.13,-1.9,0.0
63,18:35:01.575000,2023-09-16 18:35:21.938942,1.72,1.72,1.0,0.0,-0.02,-1.72,0.0
64,18:35:01.600000,2023-09-16 18:35:21.963942,1.59,1.59,360.0,0.0,0.01,-1.59,0.0
65,18:35:01.625000,2023-09-16 18:35:21.988958,2.08,2.04,357.0,12.0,0.12,-2.03,0.42
66,18:35:01.650000,2023-09-16 18:35:22.014038,1.52,1.52,360.0,0.0,0.01,-1.52,0.0
67,18:35:01.675000,2023-09-16 18:35:22.038989,1.77,1.77,353.0,0.0,0.21,-1.76,0.0
68,18:35:01.700000,2023-09-16 18:35:22.063977,1.68,1.68,358.0,0.0,0.05,-1.68,0.0
69,18:35:01.725000,2023-09-16 18:35:22.088968,1.87,1.87,358.0,0.0,0.08,-1.86,0.0
70,18:35:01.750000,2023-09-16 18:35:22.114068,1.76,1.76,355.0,0.0,0.15,-1.75,0.0
71,18:35:01.775000,2023-09-16 18:35:22.139031,1.7,1.7,355.0,0.0,0.15,-1.7,0.0
72,18:35:01.800000,2023-09-16 18:35:22.163995,1.59,1.59,353.0,0.0,0.2,-1.57,0.0
73,18:35:01.825000,2023-09-16 18:35:22.189004,1.53,1.53,356.0,0.0,0.1,-1.53,0.0
74,18:35:01.850000,2023-09-16 18:35:22.214135,1.31,1.31,359.0,0.0,0.02,-1.31,0.0
75,18:35:01.875000,2023-09-16 18:35:22.239017,1.36,1.36,1.0,0.0,-0.02,-1.36,0.0
76,18:35:01.900000,2023-09-16 18:35:22.263988,1.32,1.32,4.0,0.0,-0.08,-1.32,0.0
77,18:35:01.925000,2023-09-16 18:35:22.288989,1.57,1.57,3.0,0.0,-0.08,-1.56,0.0
78,18:35:01.950000,2023-09-16 18:35:22.314164,1.12,1.12,360.0,0.0,0.01,-1.12,0.0
79,18:35:01.975000,2023-09-16 18:35:22.339035,1.15,1.15,1.0,0.0,-0.02,-1.15,0.0
80,18:35:02,2023-09-16 18:35:22.364022,1.45,1.45,28.0,0.0,-0.68,-1.28,0.0
81,18:35:02.025000,2023-09-16 18:35:22.388997,1.65,1.65,13.0,0.0,-0.37,-1.61,0.0
82,18:35:02.050000,2023-09-16 18:35:22.414138,1.73,1.73,36.0,0.0,-1.02,-1.4,0.0
83,18:35:02.075000,2023-09-16 18:35:22.439063,1.87,1.87,30.0,0.0,-0.93,-1.62,0.0
84,18:35:02.100000,2023-09-16 18:35:22.464043,2.18,2.18,36.0,2.0,-1.29,-1.76,0.07
85,18:35:02.125000,2023-09-16 18:35:22.489026,1.23,1.23,34.0,0.0,-0.69,-1.01,0.0
86,18:35:02.150000,2023-09-16 18:35:22.514151,1.16,1.16,2.0,0.0,-0.05,-1.15,0.0
87,18:35:02.175000,2023-09-16 18:35:22.539120,1.74,1.74,359.0,0.0,0.03,-1.74,0.0
88,18:35:02.200000,2023-09-16 18:35:22.564094,1.39,1.39,359.0,0.0,0.03,-1.39,0.0
89,18:35:02.225000,2023-09-16 18:35:22.589078,1.03,1.03,1.0,0.0,-0.02,-1.03,0.0
90,18:35:02.250000,2023-09-16 18:35:22.614125,1.17,1.17,27.0,0.0,-0.54,-1.04,0.0
91,18:35:02.275000,2023-09-16 18:35:22.639113,1.75,1.75,31.0,0.0,-0.9,-1.5,0.0
92,18:35:02.300000,2023-09-16 18:35:22.664086,1.05,1.05,20.0,0.0,-0.36,-0.99,0.0
93,18:35:02.325000,2023-09-16 18:35:22.689103,1.21,1.21,22.0,0.0,-0.46,-1.12,0.0
94,18:35:02.350000,2023-09-16 18:35:22.714220,0.91,0.91,359.0,0.0,0.01,-0.91,0.0
95,18:35:02.375000,2023-09-16 18:35:22.739127,1.38,1.38,12.0,0.0,-0.29,-1.35,0.0
96,18:35:02.400000,2023-09-16 18:35:22.764121,1.28,1.28,13.0,0.0,-0.29,-1.25,0.0
97,18:35:02.425000,2023-09-16 18:35:22.789122,1.15,1.15,4.0,0.0,-0.07,-1.15,0.0
98,18:35:02.450000,2023-09-16 18:35:22.814257,0.87,0.87,359.0,0.0,0.02,-0.87,0.0
99,18:35:02.475000,2023-09-16 18:35:22.839175,0.98,0.98,3.0,0.0,-0.04,-0.98,0.0
100,18:35:02.500000,2023-09-16 18:35:22.864166,1.24,1.24,355.0,0.0,0.11,-1.24,0.0
101,18:35:02.525000,2023-09-16 18:35:22.889135,1.13,1.13,6.0,0.0,-0.11,-1.13,0.0
102,18:35:02.550000,2023-09-16 18:35:22.914238,0.42,0.42,20.0,0.0,-0.14,-0.39,0.0
103,18:35:02.575000,2023-09-16 18:35:22.939216,0.34,0.34,359.0,0.0,0.0,-0.34,0.0
104,18:35:02.600000,2023-09-16 18:35:22.964192,0.34,0.34,354.0,0.0,0.04,-0.34,0.0
105,18:35:02.625000,2023-09-16 18:35:22.989211,0.54,0.54,326.0,0.0,0.3,-0.45,0.0
106,18:35:02.650000,2023-09-16 18:35:23.014309,0.53,0.33,299.0,52.0,0.29,-0.16,0.42
107,18:35:02.675000,2023-09-16 18:35:23.039237,0.83,0.64,295.0,39.0,0.58,-0.28,0.53
108,18:35:02.700000,2023-09-16 18:35:23.064235,0.63,0.48,301.0,41.0,0.41,-0.25,0.41
109,18:35:02.725000,2023-09-16 18:35:23.089236,0.82,0.82,326.0,0.0,0.46,-0.68,0.0
110,18:35:02.750000,2023-09-16 18:35:23.114388,0.66,0.66,326.0,0.0,0.37,-0.55,0.0
111,18:35:02.775000,2023-09-16 18:35:23.139249,0.47,0.47,321.0,0.0,0.3,-0.37,0.0
112,18:35:02.800000,2023-09-16 18:35:23.164250,0.64,0.64,322.0,0.0,0.39,-0.51,0.0
113,18:35:02.825000,2023-09-16 18:35:23.189232,0.72,0.72,347.0,0.0,0.16,-0.7,0.0
114,18:35:02.850000,2023-09-16 18:35:23.214335,0.67,0.67,321.0,0.0,0.42,-0.52,0.0
115,18:35:02.875000,2023-09-16 18:35:23.239306,0.67,0.59,316.0,28.0,0.4,-0.43,0.31
116,18:35:02.900000,2023-09-16 18:35:23.264264,0.6,0.53,316.0,28.0,0.37,-0.38,0.28
117,18:35:02.925000,2023-09-16 18:35:23.289281,0.68,0.41,317.0,53.0,0.28,-0.3,0.54
118,18:35:02.950000,2023-09-16 18:35:23.314372,0.71,0.71,325.0,0.0,0.4,-0.58,0.0
119,18:35:02.975000,2023-09-16 18:35:23.339326,0.66,0.66,353.0,0.0,0.09,-0.65,0.0
120,18:35:03,2023-09-16 18:35:23.364278,0.55,0.55,342.0,0.0,0.17,-0.52,0.0
121,18:35:03.025000,2023-09-16 18:35:23.389277,0.73,0.73,356.0,0.0,0.05,-0.72,0.0
122,18:35:03.050000,2023-09-16 18:35:23.414367,0.5,0.5,2.0,0.0,-0.02,-0.5,0.0
123,18:35:03.075000,2023-09-16 18:35:23.439308,0.64,0.64,35.0,0.0,-0.37,-0.52,0.0
124,18:35:03.100000,2023-09-16 18:35:23.464292,0.65,0.31,57.0,62.0,-0.26,-0.17,0.57
125,18:35:03.125000,2023-09-16 18:35:23.489293,0.35,0.35,142.0,0.0,-0.21,0.27,0.0
126,18:35:03.150000,2023-09-16 18:35:23.514381,0.17,0.17,71.0,0.0,-0.16,-0.06,0.0
127,18:35:03.175000,2023-09-16 18:35:23.539364,0.4,0.23,224.0,55.0,0.16,0.16,0.33
128,18:35:03.200000,2023-09-16 18:35:23.564328,0.18,0.18,254.0,0.0,0.17,0.05,0.0
129,18:35:03.225000,2023-09-16 18:35:23.589336,0.56,0.18,223.0,71.0,0.12,0.13,0.53
130,18:35:03.250000,2023-09-16 18:35:23.614426,0.6,0.26,243.0,64.0,0.23,0.12,0.54
131,18:35:03.275000,2023-09-16 18:35:23.639357,0.54,0.17,222.0,71.0,0.12,0.13,0.51
132,18:35:03.300000,2023-09-16 18:35:23.664343,0.17,0.17,210.0,0.0,0.09,0.15,0.0
133,18:35:03.325000,2023-09-16 18:35:23.689350,0.32,0.32,202.0,0.0,0.12,0.3,0.0
134,18:35:03.350000,2023-09-16 18:35:23.717364,0.23,0.23,185.0,0.0,0.02,0.23,0.0
135,18:35:03.375000,2023-09-16 18:35:23.739387,0.45,0.03,299.0,86.0,0.03,-0.02,0.45
