Index,Index_2,Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
1,18:35:00.025000,2023-09-16 18:35:20.388485,,,,,,,
2,18:35:00.050000,2023-09-16 18:35:20.413538,,,,,,,
3,18:35:00.075000,2023-09-16 18:35:20.438536,,,,,,,
4,18:35:00.100000,2023-09-16 18:35:20.463484,,,,,,,
5,18:35:00.125000,2023-09-16 18:35:20.488497,1.382,1.382,149.8,0.0,-0.192,-1.338,0.0
6,18:35:00.150000,2023-09-16 18:35:20.513563,1.484,1.484,83.6,0.0,-0.332,-1.434,0.0
7,18:35:00.175000,2023-09-16 18:35:20.538530,1.474,1.474,85.2,0.0,-0.368,-1.418,0.0
8,18:35:00.200000,2023-09-16 18:35:20.563519,1.484,1.484,13.6,0.0,-0.374,-1.428,0.0
9,18:35:00.225000,2023-09-16 18:35:20.588535,1.478,1.478,10.4,0.0,-0.286,-1.442,0.0
10,18:35:00.250000,2023-09-16 18:35:20.613626,1.358,1.358,9.0,0.0,-0.218,-1.336,0.0
11,18:35:00.275000,2023-09-16 18:35:20.638554,1.234,1.234,6.0,0.0,-0.132,-1.224,0.0
12,18:35:00.300000,2023-09-16 18:35:20.663528,1.12,1.12,4.0,0.0,-0.084,-1.116,0.0
13,18:35:00.325000,2023-09-16 18:35:20.688565,1.076,1.076,75.0,0.0,-0.072,-1.072,0.0
14,18:35:00.350000,2023-09-16 18:35:20.713647,0.924,0.924,75.6,0.0,-0.074,-0.92,0.0
15,18:35:00.375000,2023-09-16 18:35:20.738605,0.934,0.934,77.0,0.0,-0.11,-0.92,0.0
16,18:35:00.400000,2023-09-16 18:35:20.763582,0.8,0.8,80.6,0.0,-0.128,-0.782,0.0
17,18:35:00.425000,2023-09-16 18:35:20.788601,0.784,0.784,87.0,0.0,-0.204,-0.74,0.0
18,18:35:00.450000,2023-09-16 18:35:20.813699,0.874,0.874,21.2,0.0,-0.328,-0.8,0.0
19,18:35:00.475000,2023-09-16 18:35:20.838649,1.004,1.004,24.4,0.0,-0.418,-0.908,0.0
20,18:35:00.500000,2023-09-16 18:35:20.863628,0.836,0.836,38.8,0.0,-0.43,-0.658,0.0
21,18:35:00.525000,2023-09-16 18:35:20.893102,0.854,0.854,52.2,0.0,-0.492,-0.602,0.0
22,18:35:00.550000,2023-09-16 18:35:20.913661,0.752,0.752,64.2,0.0,-0.454,-0.476,0.0
23,18:35:00.575000,2023-09-16 18:35:20.938684,0.618,0.59,67.2,8.2,-0.394,-0.32,0.076
24,18:35:00.600000,2023-09-16 18:35:20.963672,0.568,0.398,74.8,21.8,-0.36,-0.106,0.286
25,18:35:00.625000,2023-09-16 18:35:20.988676,0.592,0.422,71.0,21.8,-0.376,-0.146,0.286
26,18:35:00.650000,2023-09-16 18:35:21.013778,0.762,0.458,80.4,34.2,-0.38,-0.058,0.51
27,18:35:00.675000,2023-09-16 18:35:21.038725,0.788,0.484,132.2,34.2,-0.324,-0.132,0.51
28,18:35:00.700000,2023-09-16 18:35:21.063713,0.758,0.482,195.2,26.0,-0.264,-0.154,0.434
29,18:35:00.725000,2023-09-16 18:35:21.088689,0.636,0.502,187.6,12.4,-0.23,-0.208,0.224
30,18:35:00.750000,2023-09-16 18:35:21.113771,0.628,0.494,179.6,12.4,-0.176,-0.264,0.224
31,18:35:00.775000,2023-09-16 18:35:21.138715,0.492,0.492,154.6,0.0,-0.104,-0.462,0.0
