Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
2023-12-21 18:54:50.071071,4.17,4.17,89.0,0.0,-4.17,-0.04,0.0
2023-12-21 18:54:50.096027,5.26,5.25,101.0,3.0,-5.16,0.98,0.29
2023-12-21 18:54:50.121059,4.62,4.62,108.0,0.0,-4.39,1.41,0.0
2023-12-21 18:54:50.146046,4.3,4.3,106.0,0.0,-4.12,1.22,0.0
2023-12-21 18:54:50.171059,5.24,5.21,99.0,5.0,-5.15,0.8,0.5
2023-12-21 18:54:50.196018,4.36,4.36,94.0,0.0,-4.35,0.29,0.0
2023-12-21 18:54:50.221050,4.4,4.4,71.0,0.0,-4.15,-1.46,0.0
2023-12-21 18:54:50.246035,5.21,5.18,63.0,5.0,-4.63,-2.33,0.49
2023-12-21 18:54:50.271052,5.35,5.33,62.0,5.0,-4.68,-2.53,0.51
2023-12-21 18:54:50.296040,5.28,5.28,71.0,0.0,-5.0,-1.7,0.0
2023-12-21 18:54:50.321052,5.23,5.21,64.0,5.0,-4.67,-2.31,0.41
2023-12-21 18:54:50.346042,4.33,4.33,77.0,0.0,-4.22,-1.0,0.0
2023-12-21 18:54:50.371039,4.02,3.96,54.0,10.0,-3.2,-2.33,0.67
2023-12-21 18:54:50.396042,4.4,4.37,46.0,7.0,-3.12,-3.06,0.54
2023-12-21 18:54:50.421042,5.24,5.21,54.0,7.0,-4.19,-3.1,0.61
2023-12-21 18:54:50.446041,5.08,5.08,77.0,0.0,-4.94,-1.17,0.0
2023-12-21 18:54:50.471047,5.59,5.59,89.0,0.0,-5.59,-0.06,0.0
2023-12-21 18:54:50.496046,5.92,5.92,82.0,0.0,-5.87,-0.79,0.0
2023-12-21 18:54:50.521038,4.78,4.78,71.0,0.0,-4.52,-1.57,0.0
2023-12-21 18:54:50.546039,5.84,5.65,60.0,15.0,-4.89,-2.82,1.48
2023-12-21 18:54:50.571039,7.23,7.16,44.0,8.0,-4.95,-5.18,0.96
2023-12-21 18:54:50.596045,8.11,8.05,50.0,7.0,-6.14,-5.2,1.0
2023-12-21 18:54:50.621047,8.35,8.35,54.0,1.0,-6.75,-4.92,0.19
2023-12-21 18:54:50.646036,7.83,7.83,53.0,1.0,-6.29,-4.66,0.19
2023-12-21 18:54:50.671046,7.16,7.12,49.0,6.0,-5.38,-4.67,0.71
2023-12-21 18:54:50.696054,6.57,6.53,57.0,6.0,-5.47,-3.57,0.72
2023-12-21 18:54:50.721036,7.1,7.06,57.0,6.0,-5.89,-3.9,0.72
2023-12-21 18:54:50.746044,6.83,6.77,50.0,8.0,-5.22,-4.31,0.91
2023-12-21 18:54:50.771047,6.17,6.14,52.0,6.0,-4.83,-3.79,0.63
2023-12-21 18:54:50.796043,7.38,7.33,50.0,7.0,-5.65,-4.66,0.93
2023-12-21 18:54:50.821045,7.28,7.24,49.0,6.0,-5.49,-4.72,0.73
2023-12-21 18:54:50.846038,6.66,6.63,56.0,5.0,-5.48,-3.74,0.59
2023-12-21 18:54:50.871040,7.65,7.64,53.0,3.0,-6.12,-4.57,0.35
2023-12-21 18:54:50.896026,8.19,8.17,43.0,4.0,-5.58,-5.97,0.51
2023-12-21 18:54:50.921015,6.5,6.47,63.0,5.0,-5.76,-2.96,0.58
2023-12-21 18:54:50.946059,6.25,6.15,60.0,10.0,-5.35,-3.03,1.14
2023-12-21 18:54:50.971049,6.42,6.37,50.0,8.0,-4.89,-4.08,0.86
2023-12-21 18:54:50.996046,7.28,7.01,59.0,15.0,-5.98,-3.66,1.94
2023-12-21 18:54:51.021049,7.11,7.09,62.0,4.0,-6.27,-3.3,0.52
2023-12-21 18:54:51.046043,7.79,7.75,56.0,5.0,-6.43,-4.34,0.73
2023-12-21 18:54:51.071038,7.76,7.73,50.0,6.0,-5.89,-5.0,0.77
2023-12-21 18:54:51.096037,7.55,7.52,59.0,5.0,-6.47,-3.84,0.66
2023-12-21 18:54:51.121037,7.35,7.32,56.0,5.0,-6.09,-4.06,0.62
2023-12-21 18:54:51.146065,6.84,6.81,59.0,5.0,-5.83,-3.53,0.59
2023-12-21 18:54:51.171039,6.63,6.34,52.0,17.0,-5.03,-3.86,1.96
2023-12-21 18:54:51.196025,5.9,5.86,59.0,6.0,-5.03,-3.0,0.65
2023-12-21 18:54:51.221031,6.18,6.16,61.0,5.0,-5.39,-2.98,0.52
2023-12-21 18:54:51.246005,7.52,7.52,50.0,1.0,-5.75,-4.84,0.12
2023-12-21 18:54:51.271032,7.22,7.21,53.0,3.0,-5.78,-4.31,0.38
2023-12-21 18:54:51.296030,7.09,7.04,46.0,7.0,-5.09,-4.86,0.91
2023-12-21 18:54:51.321033,6.44,6.39,51.0,7.0,-4.93,-4.06,0.79
2023-12-21 18:54:51.346031,6.84,6.77,50.0,8.0,-5.18,-4.36,0.98
