Index,Index_2,Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
0,2023-09-25 16:49:00.000000,2023-09-25 16:49:02.905168,0.82,0.82,249.0,0.0,0.76,0.29,0.0
1,2023-09-25 16:49:00.025000,2023-09-25 16:49:02.930168,0.82,0.82,249.0,0.0,0.76,0.29,0.0
2,2023-09-25 16:49:00.050000,2023-09-25 16:49:02.955202,0.75,0.75,250.0,0.0,0.71,0.25,0.0
3,2023-09-25 16:49:00.075000,2023-09-25 16:49:02.980018,0.95,0.95,265.0,0.0,0.94,0.08,0.0
4,2023-09-25 16:49:00.100000,2023-09-25 16:49:03.004990,1.01,1.01,263.0,0.0,1.0,0.12,0.0
5,2023-09-25 16:49:00.125000,2023-09-25 16:49:03.029844,0.97,0.97,261.0,0.0,0.96,0.15,0.0
6,2023-09-25 16:49:00.150000,2023-09-25 16:49:03.054794,1.01,0.94,259.0,22.0,0.92,0.18,0.38
7,2023-09-25 16:49:00.175000,2023-09-25 16:49:03.079768,1.09,1.09,250.0,0.0,1.03,0.38,0.0
8,2023-09-25 16:49:00.200000,2023-09-25 16:49:03.104630,1.38,1.36,243.0,10.0,1.21,0.62,0.24
9,2023-09-25 16:49:00.225000,2023-09-25 16:49:03.129620,1.27,1.24,238.0,12.0,1.05,0.66,0.27
10,2023-09-25 16:49:00.250000,2023-09-25 16:49:03.154494,1.28,1.26,238.0,11.0,1.07,0.67,0.24
11,2023-09-25 16:49:00.275000,2023-09-25 16:49:03.179423,1.39,1.35,245.0,13.0,1.22,0.57,0.32
12,2023-09-25 16:49:00.300000,2023-09-25 16:49:03.204494,1.44,1.39,242.0,15.0,1.23,0.65,0.37
13,2023-09-25 16:49:00.325000,2023-09-25 16:49:03.229278,1.92,1.9,222.0,8.0,1.27,1.42,0.27
14,2023-09-25 16:49:00.350000,2023-09-25 16:49:03.254223,1.45,1.41,230.0,13.0,1.07,0.91,0.32
15,2023-09-25 16:49:00.375000,2023-09-25 16:49:03.279138,1.33,1.29,238.0,14.0,1.09,0.69,0.33
16,2023-09-25 16:49:00.400000,2023-09-25 16:49:03.304069,1.39,1.34,240.0,16.0,1.15,0.68,0.39
17,2023-09-25 16:49:00.425000,2023-09-25 16:49:03.329038,1.34,1.34,204.0,0.0,0.55,1.22,0.0
18,2023-09-25 16:49:00.450000,2023-09-25 16:49:03.353915,1.21,1.21,212.0,0.0,0.64,1.03,0.0
19,2023-09-25 16:49:00.475000,2023-09-25 16:49:03.378868,1.11,1.11,217.0,0.0,0.67,0.88,0.0
20,2023-09-25 16:49:00.500000,2023-09-25 16:49:03.403786,0.99,0.99,213.0,0.0,0.54,0.83,0.0
21,2023-09-25 16:49:00.525000,2023-09-25 16:49:03.428806,1.09,1.08,229.0,10.0,0.82,0.7,0.18
22,2023-09-25 16:49:00.550000,2023-09-25 16:49:03.453647,0.96,0.96,245.0,7.0,0.86,0.41,0.12
23,2023-09-25 16:49:00.575000,2023-09-25 16:49:03.478580,0.81,0.81,247.0,0.0,0.74,0.32,0.0
24,2023-09-25 16:49:00.600000,2023-09-25 16:49:03.503539,0.77,0.69,244.0,26.0,0.62,0.3,0.34
25,2023-09-25 16:49:00.625000,2023-09-25 16:49:03.528431,0.8,0.76,243.0,17.0,0.68,0.35,0.24
26,2023-09-25 16:49:00.650000,2023-09-25 16:49:03.553410,0.73,0.6,234.0,35.0,0.49,0.35,0.42
27,2023-09-25 16:49:00.675000,2023-09-25 16:49:03.578297,0.96,0.95,227.0,8.0,0.69,0.65,0.13
28,2023-09-25 16:49:00.700000,2023-09-25 16:49:03.603315,0.64,0.64,209.0,0.0,0.31,0.55,0.0
29,2023-09-25 16:49:00.725000,2023-09-25 16:49:03.628108,0.9,0.9,248.0,0.0,0.83,0.34,0.0
30,2023-09-25 16:49:00.750000,2023-09-25 16:49:03.653100,0.69,0.62,260.0,26.0,0.61,0.1,0.3
