Index,Index_2,Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
0,2023-09-25 16:49:00.000000,2023-09-25 16:49:02.905168,2.1019,2.0394,226.6875,10.0525,1.4029,1.4137,0.332
400,2023-09-25 16:49:10,2023-09-25 16:49:12.886026,1.9737,1.9153,212.6175,8.4175,1.0286,1.4938,0.2448
800,2023-09-25 16:49:20,2023-09-25 16:49:22.465029,1.5705,1.5266,206.0175,6.0175,0.7036,1.2592,0.1668
1200,2023-09-25 16:49:30,2023-09-25 16:49:32.460076,2.8388,2.7949,212.63,7.06,1.5167,2.116,0.3106
1600,2023-09-25 16:49:40,2023-09-25 16:49:42.455114,1.7582,1.6904,215.695,9.4825,0.7751,1.1238,0.2905
2000,2023-09-25 16:49:50,2023-09-25 16:49:52.499426,2.9239,2.8558,218.6,9.4825,1.6221,2.1933,0.3566
2400,2023-09-25 16:50:00,2023-09-25 16:50:02.556670,2.9596,2.8833,210.4575,8.58,1.3824,2.3345,0.3835
2800,2023-09-25 16:50:10,2023-09-25 16:50:12.567996,2.7261,2.7026,196.06,2.79,0.6342,2.5492,0.101
3200,2023-09-25 16:50:20,2023-09-25 16:50:23.470905,3.2173,3.1828,205.555,3.95,1.4376,2.7437,0.2104
3600,2023-09-25 16:50:30,2023-09-25 16:50:33.465936,3.7919,3.7723,197.5725,2.295,1.0677,3.5408,0.1945
4000,2023-09-25 16:50:40,2023-09-25 16:50:43.460933,4.6956,4.6517,208.985,4.59,2.1765,4.0104,0.3522
4400,2023-09-25 16:50:50,2023-09-25 16:50:53.456221,4.6662,4.6168,205.8,5.41,1.8477,4.1334,0.4009
4800,2023-09-25 16:51:00,2023-09-25 16:51:03.460080,4.1062,4.0529,213.82,5.415,2.1128,3.2732,0.3636
5200,2023-09-25 16:51:10,2023-09-25 16:51:13.460242,5.4009,5.3665,205.1475,3.5975,2.1463,4.7616,0.3617
5600,2023-09-25 16:51:20,2023-09-25 16:51:23.458001,4.6797,4.6376,201.365,4.6775,1.6792,4.2713,0.4256
6000,2023-09-25 16:51:30,2023-09-25 16:51:33.454422,3.1316,3.1082,203.8675,3.295,1.2058,2.8003,0.1906
6400,2023-09-25 16:51:40,2023-09-25 16:51:43.450186,4.7546,4.7218,212.6375,3.9375,2.5005,3.9682,0.3267
6800,2023-09-25 16:51:50,2023-09-25 16:51:53.445594,5.0345,4.9995,203.525,4.0675,1.9685,4.4883,0.3437
7200,2023-09-25 16:52:00,2023-09-25 16:52:03.445473,4.4697,4.4445,203.3675,3.16,1.7236,3.9944,0.2546
7600,2023-09-25 16:52:10,2023-09-25 16:52:13.448900,3.9231,3.8618,220.3825,7.66,2.4466,2.9352,0.4581
8000,2023-09-25 16:52:20,2023-09-25 16:52:23.450389,4.479,4.4313,204.0225,4.5275,1.9093,3.7753,0.3898
8400,2023-09-25 16:52:30,2023-09-25 16:52:33.450477,4.4443,4.39,198.48,4.67,1.2693,4.0238,0.3564
8800,2023-09-25 16:52:40,2023-09-25 16:52:43.449541,4.2386,4.1877,215.26,5.905,2.3516,3.3955,0.3868
9200,2023-09-25 16:52:50,2023-09-25 16:52:53.447754,4.8722,4.821,233.475,5.97,3.718,2.8514,0.4769
9600,2023-09-25 16:53:00,2023-09-25 16:53:03.445474,3.7038,3.643,205.5575,6.24,1.4199,3.1342,0.3687
10000,2023-09-25 16:53:10,2023-09-25 16:53:13.443560,4.6559,4.6255,200.8075,3.6575,1.6709,4.2702,0.3673
10400,2023-09-25 16:53:20,2023-09-25 16:53:23.439787,4.5494,4.5169,205.9375,3.995,1.9588,4.0033,0.3444
10800,2023-09-25 16:53:30,2023-09-25 16:53:33.436607,4.5989,4.5372,214.8125,6.3825,2.3981,3.669,0.4432
11200,2023-09-25 16:53:40,2023-09-25 16:53:43.433224,4.1679,4.101,222.8525,7.5175,2.6697,2.9319,0.4539
11600,2023-09-25 16:53:50,2023-09-25 16:53:53.429771,3.9336,3.8878,212.1425,5.2425,2.062,3.1461,0.3658
12000,2023-09-25 16:54:00,2023-09-25 16:54:03.426267,5.478,5.4023,214.7025,6.025,2.9165,4.3643,0.4827
12400,2023-09-25 16:54:10,2023-09-25 16:54:13.433608,5.603,5.5416,212.455,5.575,2.8385,4.6793,0.4492
12800,2023-09-25 16:54:20,2023-09-25 16:54:23.443541,6.9966,6.952,210.9775,4.0025,3.4782,5.9179,0.4816
13200,2023-09-25 16:54:30,2023-09-25 16:54:33.450320,6.6152,6.5726,210.25,4.13,3.2367,5.6565,0.4792
13600,2023-09-25 16:54:40,2023-09-25 16:54:43.454734,4.9608,4.9238,209.495,4.1775,2.3263,4.2613,0.3594
14000,2023-09-25 16:54:50,2023-09-25 16:54:53.457506,5.8024,5.7296,212.715,5.9675,2.8297,4.847,0.4838
14400,2023-09-25 16:55:00,2023-09-25 16:55:03.459062,4.881,4.8424,205.5275,3.7775,1.9792,4.3433,0.3399
14800,2023-09-25 16:55:10,2023-09-25 16:55:13.459876,3.4847,3.4418,206.0175,4.725,1.416,3.0511,0.2382
15200,2023-09-25 16:55:20,2023-09-25 16:55:23.459745,4.5423,4.4888,208.84,4.8925,2.064,3.8941,0.3196
15600,2023-09-25 16:55:30,2023-09-25 16:55:33.459267,4.8065,4.7732,207.9825,3.9725,2.0826,4.1443,0.3339
16000,2023-09-25 16:55:40,2023-09-25 16:55:43.458437,5.935,5.8799,218.425,6.32,3.4244,4.6334,0.613
16400,2023-09-25 16:55:50,2023-09-25 16:55:53.457413,3.3292,3.2983,205.225,3.9275,1.4225,2.8799,0.2212
16800,2023-09-25 16:56:00,2023-09-25 16:56:03.456236,3.4928,3.4727,188.2775,1.915,0.4696,3.3863,0.1443
17200,2023-09-25 16:56:10,2023-09-25 16:56:13.456052,3.1383,3.045,214.9025,9.5525,1.6673,2.4162,0.4342
17600,2023-09-25 16:56:20,2023-09-25 16:56:23.453325,5.0517,5.0084,211.8875,4.8475,2.5902,4.1892,0.4404
18000,2023-09-25 16:56:30,2023-09-25 16:56:33.451783,3.9255,3.8939,209.645,3.8875,1.8611,3.3506,0.2653
18400,2023-09-25 16:56:40,2023-09-25 16:56:43.450325,3.9272,3.8823,209.2375,4.815,1.8047,3.3795,0.2938
18800,2023-09-25 16:56:50,2023-09-25 16:56:53.448575,3.9038,3.857,209.88,4.73,1.8992,3.2867,0.2994
19200,2023-09-25 16:57:00,2023-09-25 16:57:03.446912,4.7696,4.7386,199.1175,3.49,1.553,4.4265,0.3551
19600,2023-09-25 16:57:10,2023-09-25 16:57:13.445256,3.5407,3.5167,212.695,3.5825,1.6393,2.8865,0.2105
20000,2023-09-25 16:57:20,2023-09-25 16:57:23.446636,4.1632,4.1137,207.7575,5.09,1.8064,3.5925,0.3341
20400,2023-09-25 16:57:30,2023-09-25 16:57:33.452100,4.6213,4.5859,206.235,3.775,2.0553,4.0066,0.3022
20800,2023-09-25 16:57:40,2023-09-25 16:57:43.455911,5.7807,5.7228,214.8575,5.095,3.1729,4.6433,0.4578
21200,2023-09-25 16:57:50,2023-09-25 16:57:53.458521,5.4307,5.3764,218.2975,5.6325,3.2291,4.2357,0.4534
21600,2023-09-25 16:58:00,2023-09-25 16:58:03.460179,4.6932,4.6492,210.715,4.9225,2.2843,3.9756,0.4048
22000,2023-09-25 16:58:10,2023-09-25 16:58:13.461254,4.482,4.4088,216.6325,6.97,2.5079,3.5584,0.4771
22400,2023-09-25 16:58:20,2023-09-25 16:58:23.461721,4.0174,3.9897,203.6825,3.1775,1.6131,3.5395,0.23
22800,2023-09-25 16:58:30,2023-09-25 16:58:33.461871,4.9217,4.9018,200.9825,2.4125,1.8685,4.4147,0.2409
23200,2023-09-25 16:58:40,2023-09-25 16:58:43.461856,4.1165,4.0754,208.85,4.7275,1.8875,3.5151,0.2831
23600,2023-09-25 16:58:50,2023-09-25 16:58:53.461625,3.5064,3.4538,204.3475,5.42,1.4068,2.9964,0.3482
24000,2023-09-25 16:59:00,2023-09-25 16:59:03.461261,3.8295,3.7918,209.1575,4.98,1.7478,3.3064,0.3198
24400,2023-09-25 16:59:10,2023-09-25 16:59:13.460783,4.2984,4.2442,208.1275,5.32,1.8839,3.6983,0.3466
24800,2023-09-25 16:59:20,2023-09-25 16:59:23.460241,4.5167,4.4815,202.42,3.8075,1.652,3.9829,0.3021
25200,2023-09-25 16:59:30,2023-09-25 16:59:33.460215,4.3548,4.3202,204.605,3.75,1.7368,3.8669,0.2801
25600,2023-09-25 16:59:40,2023-09-25 16:59:43.460532,4.1678,4.0943,217.36,7.4725,2.3712,3.2535,0.4698
26000,2023-09-25 16:59:50,2023-09-25 16:59:53.460717,2.4515,2.3906,211.8525,8.25,1.2596,1.9261,0.2928
26400,2023-09-25 17:00:00,2023-09-25 17:00:03.460783,3.1326,3.0969,208.0075,4.95,1.4717,2.5707,0.2511
