Index,Index_2,Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
0,2023-09-25 16:49:00.000000,2023-09-25 16:49:02.905168,0.9275,0.9188,255.75,2.75,0.885,0.2175,0.0475
8,2023-09-25 16:49:00.200000,2023-09-25 16:49:03.104630,1.4325,1.4,237.0,12.0,1.1513,0.7737,0.295
16,2023-09-25 16:49:00.400000,2023-09-25 16:49:03.304069,1.1125,1.105,225.875,4.125,0.7462,0.7588,0.0862
24,2023-09-25 16:49:00.600000,2023-09-25 16:49:03.503539,0.81,0.7688,238.75,14.0,0.6412,0.3825,0.1788
32,2023-09-25 16:49:00.800000,2023-09-25 16:49:03.702959,1.05,1.0438,262.0,3.125,1.015,0.1463,0.0588
40,2023-09-25 16:49:01,2023-09-25 16:49:03.902333,0.8738,0.8175,245.5,12.875,0.7425,0.3362,0.185
48,2023-09-25 16:49:01.200000,2023-09-25 16:49:04.101815,0.88,0.81,220.5,13.0,0.5238,0.6075,0.2262
56,2023-09-25 16:49:01.400000,2023-09-25 16:49:04.301335,1.51,1.2662,237.75,29.75,1.0612,0.6788,0.7775
64,2023-09-25 16:49:01.600000,2023-09-25 16:49:04.500780,2.0512,2.0188,219.5,7.125,1.2812,1.5525,0.2525
72,2023-09-25 16:49:01.800000,2023-09-25 16:49:04.700240,2.1525,2.08,232.625,12.875,1.6488,1.2275,0.4562
80,2023-09-25 16:49:02,2023-09-25 16:49:04.899726,2.1688,2.1588,245.5,3.125,1.9562,0.895,0.1262
88,2023-09-25 16:49:02.200000,2023-09-25 16:49:05.099236,2.415,2.3875,233.75,8.375,1.9025,1.4225,0.3388
96,2023-09-25 16:49:02.400000,2023-09-25 16:49:05.298765,2.71,2.6638,237.125,10.5,2.2263,1.445,0.4838
104,2023-09-25 16:49:02.600000,2023-09-25 16:49:05.498353,2.7038,2.6863,239.25,6.25,2.3,1.3712,0.2825
112,2023-09-25 16:49:02.800000,2023-09-25 16:49:05.697839,2.3562,2.335,236.875,7.0,1.9375,1.2588,0.2825
120,2023-09-25 16:49:03,2023-09-25 16:49:05.897390,2.2325,2.1862,246.5,7.375,2.0,0.8725,0.2562
128,2023-09-25 16:49:03.200000,2023-09-25 16:49:06.096978,1.775,1.5212,230.75,28.25,1.1625,0.9562,0.84
136,2023-09-25 16:49:03.400000,2023-09-25 16:49:06.296582,1.8662,1.715,237.875,21.5,1.4462,0.9025,0.6812
144,2023-09-25 16:49:03.600000,2023-09-25 16:49:06.496169,1.5125,1.3438,235.0,22.75,1.0762,0.755,0.565
152,2023-09-25 16:49:03.800000,2023-09-25 16:49:06.695670,2.0775,2.0675,216.0,2.5,1.2138,1.6675,0.1062
160,2023-09-25 16:49:04,2023-09-25 16:49:06.895268,2.02,2.005,216.625,3.375,1.2,1.5962,0.1312
168,2023-09-25 16:49:04.200000,2023-09-25 16:49:07.094874,1.235,1.2138,232.25,3.125,0.8038,0.8775,0.0975
176,2023-09-25 16:49:04.400000,2023-09-25 16:49:07.294478,2.0462,2.0375,213.125,1.875,1.1088,1.7038,0.0662
184,2023-09-25 16:49:04.600000,2023-09-25 16:49:07.494115,2.2425,2.2388,209.875,1.125,1.105,1.9375,0.0562
192,2023-09-25 16:49:04.800000,2023-09-25 16:49:07.693732,1.7312,1.67,217.5,8.0,0.9862,1.33,0.21
200,2023-09-25 16:49:05,2023-09-25 16:49:07.893369,1.6888,1.625,216.375,8.5,0.92,1.3125,0.1987
208,2023-09-25 16:49:05.200000,2023-09-25 16:49:08.092994,3.0162,2.9925,212.625,5.75,1.5812,2.5338,0.325
216,2023-09-25 16:49:05.400000,2023-09-25 16:49:08.292645,1.4062,1.3075,218.375,15.625,0.8312,0.9838,0.4462
224,2023-09-25 16:49:05.600000,2023-09-25 16:49:08.492313,1.29,1.1325,226.0,21.125,0.8112,0.7538,0.5025
232,2023-09-25 16:49:05.800000,2023-09-25 16:49:08.691962,1.5075,1.3012,224.0,23.5,0.8738,0.9288,0.585
240,2023-09-25 16:49:06,2023-09-25 16:49:08.891604,1.7138,1.6612,219.0,8.0,1.0512,1.2775,0.2638
248,2023-09-25 16:49:06.200000,2023-09-25 16:49:09.091278,1.4462,1.3538,222.625,14.5,0.9088,0.9875,0.3612
256,2023-09-25 16:49:06.400000,2023-09-25 16:49:09.291022,1.5575,1.5088,219.25,8.25,0.9625,1.1588,0.2188
264,2023-09-25 16:49:06.600000,2023-09-25 16:49:09.490652,2.085,2.055,223.125,5.875,1.3938,1.495,0.195
272,2023-09-25 16:49:06.800000,2023-09-25 16:49:09.690349,2.2162,2.1162,232.125,16.625,1.6662,1.29,0.6312
280,2023-09-25 16:49:07,2023-09-25 16:49:09.890389,1.5338,1.4475,219.625,14.875,0.9038,1.0962,0.32
288,2023-09-25 16:49:07.200000,2023-09-25 16:49:10.089754,1.31,1.2412,209.125,10.375,0.5638,1.0638,0.1825
296,2023-09-25 16:49:07.400000,2023-09-25 16:49:10.289458,3.0025,2.965,213.5,5.875,1.59,2.4762,0.2662
304,2023-09-25 16:49:07.600000,2023-09-25 16:49:10.489151,2.5562,2.525,218.375,4.5,1.505,1.995,0.1525
312,2023-09-25 16:49:07.800000,2023-09-25 16:49:10.689243,3.1362,3.1225,217.5,2.5,1.89,2.4838,0.15
320,2023-09-25 16:49:08,2023-09-25 16:49:10.888572,3.0925,3.0425,214.0,6.875,1.6688,2.53,0.35
328,2023-09-25 16:49:08.200000,2023-09-25 16:49:11.088353,3.2938,3.225,223.625,10.625,2.1562,2.3712,0.55
336,2023-09-25 16:49:08.400000,2023-09-25 16:49:11.288037,3.8112,3.7912,221.0,5.0,2.4638,2.8737,0.3362
344,2023-09-25 16:49:08.600000,2023-09-25 16:49:11.487782,2.8788,2.75,221.75,14.375,1.8288,2.0488,0.6975
352,2023-09-25 16:49:08.800000,2023-09-25 16:49:11.687535,3.445,3.4262,218.5,4.625,2.1062,2.6938,0.2812
360,2023-09-25 16:49:09,2023-09-25 16:49:11.887290,2.9612,2.8912,222.625,11.5,1.9588,2.1275,0.5925
368,2023-09-25 16:49:09.200000,2023-09-25 16:49:12.087013,3.005,2.8912,225.875,15.75,2.0738,2.015,0.7762
376,2023-09-25 16:49:09.400000,2023-09-25 16:49:12.286754,3.4175,3.3688,231.125,9.75,2.5962,2.1162,0.5738
384,2023-09-25 16:49:09.600000,2023-09-25 16:49:12.486547,3.2788,3.2412,220.5,6.875,2.0825,2.4775,0.355
392,2023-09-25 16:49:09.800000,2023-09-25 16:49:12.686292,2.55,2.5288,220.5,4.625,1.6362,1.9238,0.1987
400,2023-09-25 16:49:10,2023-09-25 16:49:12.886026,2.8388,2.7925,222.5,10.25,1.8825,2.0625,0.4912
408,2023-09-25 16:49:10.200000,2023-09-25 16:49:13.085863,2.4562,2.435,221.75,6.5,1.6087,1.8212,0.2688
416,2023-09-25 16:49:10.400000,2023-09-25 16:49:13.285559,2.165,2.1162,227.375,12.0,1.55,1.4288,0.4475
424,2023-09-25 16:49:10.600000,2023-09-25 16:49:13.485340,2.8538,2.82,221.625,8.5,1.855,2.1188,0.4162
432,2023-09-25 16:49:10.800000,2023-09-25 16:49:13.685144,3.0262,3.0088,220.75,4.375,1.9588,2.28,0.205
440,2023-09-25 16:49:11,2023-09-25 16:49:13.884884,3.015,3.015,213.625,0.0,1.66,2.5112,0.0
448,2023-09-25 16:49:11.200000,2023-09-25 16:49:14.084663,2.8,2.7675,226.0,7.125,1.9825,1.905,0.3475
