Index,Index_2,Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
0,2023-09-25 16:49:00.000000,2023-09-25 16:49:02.905168,,,,,,,
8,2023-09-25 16:49:00.200000,2023-09-25 16:49:03.104630,,,,,,,
16,2023-09-25 16:49:00.400000,2023-09-25 16:49:03.304069,,,,,,,
24,2023-09-25 16:49:00.600000,2023-09-25 16:49:03.503539,1.0706,1.0482,239.3438,8.2188,0.8559,0.5331,0.1519
32,2023-09-25 16:49:00.800000,2023-09-25 16:49:03.702959,1.1012,1.0794,240.9062,8.3125,0.8884,0.5153,0.1547
40,2023-09-25 16:49:01,2023-09-25 16:49:03.902333,0.9616,0.9338,243.0312,8.5312,0.7862,0.406,0.1272
48,2023-09-25 16:49:01.200000,2023-09-25 16:49:04.101815,0.9034,0.86,241.6875,10.75,0.7306,0.3681,0.1622
56,2023-09-25 16:49:01.400000,2023-09-25 16:49:04.301335,1.0785,0.9844,241.4375,14.6875,0.8356,0.4422,0.3119
64,2023-09-25 16:49:01.600000,2023-09-25 16:49:04.500780,1.3288,1.2281,230.8125,15.6875,0.9022,0.7938,0.3603
72,2023-09-25 16:49:01.800000,2023-09-25 16:49:04.700240,1.6484,1.5438,227.5938,15.6875,1.1288,1.0166,0.4281
80,2023-09-25 16:49:02,2023-09-25 16:49:04.899726,1.9706,1.881,233.8438,13.2188,1.4868,1.0884,0.4031
88,2023-09-25 16:49:02.200000,2023-09-25 16:49:05.099236,2.1969,2.1613,232.8438,7.875,1.6972,1.2744,0.2934
96,2023-09-25 16:49:02.400000,2023-09-25 16:49:05.298765,2.3616,2.3225,237.25,8.7188,1.9334,1.2475,0.3512
104,2023-09-25 16:49:02.600000,2023-09-25 16:49:05.498353,2.4994,2.4741,238.9062,7.0625,2.0962,1.2834,0.3078
112,2023-09-25 16:49:02.800000,2023-09-25 16:49:05.697839,2.5462,2.5182,236.75,8.0312,2.0916,1.3744,0.3469
120,2023-09-25 16:49:03,2023-09-25 16:49:05.897390,2.5006,2.4678,239.9375,7.7812,2.1159,1.2369,0.3262
128,2023-09-25 16:49:03.200000,2023-09-25 16:49:06.096978,2.2669,2.1822,238.3438,12.2188,1.85,1.1147,0.4153
136,2023-09-25 16:49:03.400000,2023-09-25 16:49:06.296582,2.0575,1.9394,238.0,16.0312,1.6366,0.9975,0.515
144,2023-09-25 16:49:03.600000,2023-09-25 16:49:06.496169,1.8466,1.6916,237.5312,19.9688,1.4212,0.8716,0.5856
152,2023-09-25 16:49:03.800000,2023-09-25 16:49:06.695670,1.8078,1.6619,229.9062,18.75,1.2247,1.0703,0.5481
160,2023-09-25 16:49:04,2023-09-25 16:49:06.895268,1.869,1.7828,226.375,12.5312,1.234,1.2303,0.3709
168,2023-09-25 16:49:04.200000,2023-09-25 16:49:07.094874,1.7112,1.6575,224.9688,7.9375,1.0734,1.224,0.225
176,2023-09-25 16:49:04.400000,2023-09-25 16:49:07.294478,1.8447,1.831,219.5,2.7188,1.0816,1.4612,0.1003
184,2023-09-25 16:49:04.600000,2023-09-25 16:49:07.494115,1.8859,1.8738,217.9688,2.375,1.0544,1.5288,0.0878
192,2023-09-25 16:49:04.800000,2023-09-25 16:49:07.693732,1.8137,1.79,218.1875,3.5312,1.001,1.4622,0.1075
200,2023-09-25 16:49:05,2023-09-25 16:49:07.893369,1.9272,1.8928,214.2188,4.875,1.03,1.5709,0.1328
208,2023-09-25 16:49:05.200000,2023-09-25 16:49:08.092994,2.1697,2.1316,214.0938,5.8438,1.1481,1.7784,0.1975
216,2023-09-25 16:49:05.400000,2023-09-25 16:49:08.292645,1.9606,1.8988,216.2188,9.4688,1.0796,1.54,0.295
224,2023-09-25 16:49:05.600000,2023-09-25 16:49:08.492313,1.8503,1.7644,218.3438,12.75,1.0359,1.396,0.3681
232,2023-09-25 16:49:05.800000,2023-09-25 16:49:08.691962,1.805,1.6834,220.25,16.5,1.0244,1.3001,0.4647
240,2023-09-25 16:49:06,2023-09-25 16:49:08.891604,1.4794,1.3506,221.8438,17.0625,0.8918,0.986,0.4494
248,2023-09-25 16:49:06.200000,2023-09-25 16:49:09.091278,1.4894,1.3622,222.9062,16.7812,0.9113,0.9869,0.4281
256,2023-09-25 16:49:06.400000,2023-09-25 16:49:09.291022,1.5562,1.4562,221.2188,13.5625,0.9491,1.0882,0.3572
264,2023-09-25 16:49:06.600000,2023-09-25 16:49:09.490652,1.7006,1.6447,221.0,9.1562,1.0791,1.2297,0.2597
272,2023-09-25 16:49:06.800000,2023-09-25 16:49:09.690349,1.8262,1.7584,224.2812,11.3125,1.2328,1.2328,0.3515
280,2023-09-25 16:49:07,2023-09-25 16:49:09.890389,1.8481,1.7819,223.5312,11.4062,1.2316,1.26,0.3412
288,2023-09-25 16:49:07.200000,2023-09-25 16:49:10.089754,1.7862,1.715,221.0,11.9375,1.1319,1.2362,0.3322
296,2023-09-25 16:49:07.400000,2023-09-25 16:49:10.289458,2.0156,1.9425,218.5938,11.9375,1.181,1.4816,0.35
304,2023-09-25 16:49:07.600000,2023-09-25 16:49:10.489151,2.1006,2.0447,215.1562,8.9062,1.1406,1.6578,0.2303
312,2023-09-25 16:49:07.800000,2023-09-25 16:49:10.689243,2.5012,2.4634,214.625,5.8125,1.3872,2.0047,0.1878
320,2023-09-25 16:49:08,2023-09-25 16:49:10.888572,2.9468,2.9138,215.8438,4.9375,1.6634,2.3712,0.2297
328,2023-09-25 16:49:08.200000,2023-09-25 16:49:11.088353,3.0197,2.9788,218.375,6.125,1.805,2.345,0.3006
336,2023-09-25 16:49:08.400000,2023-09-25 16:49:11.288037,3.3334,3.2953,219.0312,6.25,2.0447,2.5647,0.3466
344,2023-09-25 16:49:08.600000,2023-09-25 16:49:11.487782,3.2691,3.2022,220.0938,9.2188,2.0294,2.4559,0.4834
352,2023-09-25 16:49:08.800000,2023-09-25 16:49:11.687535,3.3572,3.2981,221.2188,8.6562,2.1388,2.4969,0.4662
360,2023-09-25 16:49:09,2023-09-25 16:49:11.887290,3.274,3.2146,220.9688,8.875,2.0894,2.436,0.4768
368,2023-09-25 16:49:09.200000,2023-09-25 16:49:12.087013,3.0725,2.9896,222.1875,11.5625,1.9919,2.2213,0.5868
376,2023-09-25 16:49:09.400000,2023-09-25 16:49:12.286754,3.2072,3.1444,224.5312,10.4062,2.1838,2.2381,0.5559
384,2023-09-25 16:49:09.600000,2023-09-25 16:49:12.486547,3.1656,3.0981,225.0312,10.9688,2.1778,2.184,0.5744
392,2023-09-25 16:49:09.800000,2023-09-25 16:49:12.686292,3.0628,3.0075,224.5,9.25,2.0972,2.1331,0.4759
400,2023-09-25 16:49:10,2023-09-25 16:49:12.886026,3.0213,2.9828,223.6562,7.875,2.0494,2.145,0.4047
408,2023-09-25 16:49:10.200000,2023-09-25 16:49:13.085863,2.781,2.7494,221.3125,7.0625,1.8025,2.0712,0.3284
416,2023-09-25 16:49:10.400000,2023-09-25 16:49:13.285559,2.5025,2.4681,223.0312,8.3438,1.6694,1.8091,0.3516
424,2023-09-25 16:49:10.600000,2023-09-25 16:49:13.485340,2.5784,2.5409,223.3125,9.3125,1.724,1.8578,0.4059
432,2023-09-25 16:49:10.800000,2023-09-25 16:49:13.685144,2.6253,2.595,222.875,7.8438,1.7431,1.9122,0.3344
440,2023-09-25 16:49:11,2023-09-25 16:49:13.884884,2.765,2.74,220.8438,6.2188,1.756,2.0847,0.2672
448,2023-09-25 16:49:11.200000,2023-09-25 16:49:14.084663,2.9238,2.9028,220.5,5.0,1.8641,2.2038,0.2422
456,2023-09-25 16:49:11.400000,2023-09-25 16:49:14.284503,2.7968,2.7741,224.4375,5.5938,1.885,1.9834,0.2459
464,2023-09-25 16:49:11.600000,2023-09-25 16:49:14.495338,2.5925,2.5644,229.6875,6.5,1.8716,1.67,0.2725
472,2023-09-25 16:49:11.800000,2023-09-25 16:49:14.684042,2.441,2.3897,235.625,10.125,1.9391,1.3528,0.425
480,2023-09-25 16:49:12,2023-09-25 16:49:14.469108,2.5141,2.4659,234.5312,9.8125,1.9522,1.4506,0.4166
488,2023-09-25 16:49:12.200000,2023-09-25 16:49:14.668918,2.6394,2.5919,232.4375,9.125,1.9872,1.6025,0.405
496,2023-09-25 16:49:12.400000,2023-09-25 16:49:14.868817,2.7678,2.7238,228.7188,9.0,2.0003,1.8078,0.4131
504,2023-09-25 16:49:12.600000,2023-09-25 16:49:15.068939,2.7869,2.7591,227.0312,7.4375,1.9916,1.8872,0.3463
512,2023-09-25 16:49:12.800000,2023-09-25 16:49:15.268665,2.4206,2.3938,233.8438,6.875,1.8547,1.4619,0.2978
520,2023-09-25 16:49:13,2023-09-25 16:49:15.468567,2.1359,2.0912,232.8438,9.25,1.614,1.2825,0.3256
528,2023-09-25 16:49:13.200000,2023-09-25 16:49:15.668437,2.0238,1.9494,235.5312,12.0625,1.5709,1.1019,0.4231
536,2023-09-25 16:49:13.400000,2023-09-25 16:49:15.868331,1.8953,1.8018,232.5938,12.875,1.3891,1.0759,0.4312
544,2023-09-25 16:49:13.600000,2023-09-25 16:49:16.068223,1.7391,1.5831,230.6875,19.4062,1.1719,1.0203,0.5462
552,2023-09-25 16:49:13.800000,2023-09-25 16:49:16.268229,1.6828,1.5056,233.0312,20.5938,1.1519,0.9228,0.5688
560,2023-09-25 16:49:14,2023-09-25 16:49:16.468082,1.3306,1.1482,227.625,21.0,0.8054,0.7825,0.4656
