Index,Index_2,Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
0,2023-09-25 16:49:00.000000,2023-09-25 16:49:02.905168,,,,,,,
1,2023-09-25 16:49:00.025000,2023-09-25 16:49:02.930168,,,,,,,
2,2023-09-25 16:49:00.050000,2023-09-25 16:49:02.955202,,,,,,,
3,2023-09-25 16:49:00.075000,2023-09-25 16:49:02.980018,,,,,,,
4,2023-09-25 16:49:00.100000,2023-09-25 16:49:03.004990,,,,,,,
5,2023-09-25 16:49:00.125000,2023-09-25 16:49:03.029844,,,,,,,
6,2023-09-25 16:49:00.150000,2023-09-25 16:49:03.054794,,,,,,,
7,2023-09-25 16:49:00.175000,2023-09-25 16:49:03.079768,,,,,,,
8,2023-09-25 16:49:00.200000,2023-09-25 16:49:03.104630,,,,,,,
9,2023-09-25 16:49:00.225000,2023-09-25 16:49:03.129620,,,,,,,
10,2023-09-25 16:49:00.250000,2023-09-25 16:49:03.154494,,,,,,,
11,2023-09-25 16:49:00.275000,2023-09-25 16:49:03.179423,,,,,,,
12,2023-09-25 16:49:00.300000,2023-09-25 16:49:03.204494,,,,,,,
13,2023-09-25 16:49:00.325000,2023-09-25 16:49:03.229278,,,,,,,
14,2023-09-25 16:49:00.350000,2023-09-25 16:49:03.254223,,,,,,,
15,2023-09-25 16:49:00.375000,2023-09-25 16:49:03.279138,,,,,,,
16,2023-09-25 16:49:00.400000,2023-09-25 16:49:03.304069,,,,,,,
17,2023-09-25 16:49:00.425000,2023-09-25 16:49:03.329038,,,,,,,
18,2023-09-25 16:49:00.450000,2023-09-25 16:49:03.353915,,,,,,,
19,2023-09-25 16:49:00.475000,2023-09-25 16:49:03.378868,,,,,,,
20,2023-09-25 16:49:00.500000,2023-09-25 16:49:03.403786,1.21,1.21,242.0,0.0,1.0,0.65,0.0
21,2023-09-25 16:49:00.525000,2023-09-25 16:49:03.428806,1.21,1.21,240.0,8.0,1.0,0.66,0.18
22,2023-09-25 16:49:00.550000,2023-09-25 16:49:03.453647,1.21,1.21,240.0,8.0,1.0,0.66,0.18
23,2023-09-25 16:49:00.575000,2023-09-25 16:49:03.478580,1.21,1.21,240.0,8.0,1.0,0.66,0.18
24,2023-09-25 16:49:00.600000,2023-09-25 16:49:03.503539,1.21,1.21,240.0,10.0,1.0,0.66,0.24
25,2023-09-25 16:49:00.625000,2023-09-25 16:49:03.528431,1.21,1.21,240.0,10.0,0.96,0.66,0.24
26,2023-09-25 16:49:00.650000,2023-09-25 16:49:03.553410,1.21,1.21,238.0,11.0,0.92,0.66,0.24
27,2023-09-25 16:49:00.675000,2023-09-25 16:49:03.578297,1.21,1.21,238.0,10.0,0.86,0.66,0.24
28,2023-09-25 16:49:00.700000,2023-09-25 16:49:03.603315,1.21,1.21,238.0,10.0,0.82,0.66,0.24
29,2023-09-25 16:49:00.725000,2023-09-25 16:49:03.628108,1.11,1.11,238.0,10.0,0.82,0.66,0.24
