Index_2,Date_Time,Wind_Speed,Wind_Speed_2D,H_direction,V_direction,U_axis,V_axis,W_axis
2023-12-21 19:14:52.225,2023-12-21 19:14:52.343179,3.87,3.863,116.8,2.0,-3.435,1.75,0.154
2023-12-21 19:14:52.250,2023-12-21 19:14:52.368181,3.966,3.959,115.5,2.0,-3.554,1.715,0.152
2023-12-21 19:14:52.275,2023-12-21 19:14:52.393172,4.083,4.058,114.2,3.6,-3.673,1.665,0.274
2023-12-21 19:14:52.300,2023-12-21 19:14:52.418194,4.244,4.219,112.7,3.6,-3.856,1.588,0.274
2023-12-21 19:14:52.325,2023-12-21 19:14:52.443178,4.325,4.3,110.3,3.3,-3.99,1.448,0.252
2023-12-21 19:14:52.350,2023-12-21 19:14:52.468196,4.406,4.382,108.1,3.2,-4.128,1.314,0.243
2023-12-21 19:14:52.375,2023-12-21 19:14:52.493195,4.44,4.414,106.3,3.5,-4.197,1.202,0.269
2023-12-21 19:14:52.400,2023-12-21 19:14:52.518186,4.462,4.433,104.8,4.1,-4.247,1.106,0.316
2023-12-21 19:14:52.425,2023-12-21 19:14:52.543173,4.405,4.375,103.2,4.3,-4.241,0.973,0.333
2023-12-21 19:14:52.450,2023-12-21 19:14:52.568192,4.366,4.338,102.4,3.8,-4.229,0.908,0.293
2023-12-21 19:14:52.475,2023-12-21 19:14:52.593185,4.398,4.37,102.0,3.8,-4.266,0.894,0.293
2023-12-21 19:14:52.500,2023-12-21 19:14:52.618202,4.456,4.422,103.3,4.7,-4.275,1.003,0.369
2023-12-21 19:14:52.525,2023-12-21 19:14:52.643250,4.452,4.432,105.0,3.9,-4.243,1.122,0.307
2023-12-21 19:14:52.550,2023-12-21 19:14:52.668210,4.382,4.361,107.1,4.3,-4.126,1.272,0.341
2023-12-21 19:14:52.575,2023-12-21 19:14:52.693187,4.327,4.306,108.9,4.3,-4.034,1.389,0.341
2023-12-21 19:14:52.600,2023-12-21 19:14:52.718181,4.246,4.226,110.3,4.0,-3.926,1.471,0.319
2023-12-21 19:14:52.625,2023-12-21 19:14:52.743177,4.261,4.244,112.4,3.6,-3.888,1.629,0.286
2023-12-21 19:14:52.650,2023-12-21 19:14:52.768182,4.284,4.27,114.4,3.3,-3.861,1.778,0.259
2023-12-21 19:14:52.675,2023-12-21 19:14:52.793182,4.283,4.271,115.3,2.8,-3.84,1.838,0.22
2023-12-21 19:14:52.700,2023-12-21 19:14:52.818184,4.35,4.338,115.8,2.8,-3.89,1.891,0.22
2023-12-21 19:14:52.725,2023-12-21 19:14:52.843180,4.4,4.388,116.5,2.8,-3.921,1.954,0.22
2023-12-21 19:14:52.750,2023-12-21 19:14:52.868171,4.357,4.351,115.9,1.9,-3.907,1.9,0.144
2023-12-21 19:14:52.775,2023-12-21 19:14:52.893177,4.301,4.299,115.2,1.1,-3.88,1.834,0.084
2023-12-21 19:14:52.800,2023-12-21 19:14:52.918176,4.247,4.246,114.7,0.7,-3.847,1.779,0.05
2023-12-21 19:14:52.825,2023-12-21 19:14:52.943181,4.206,4.205,114.1,0.7,-3.825,1.725,0.05
2023-12-21 19:14:52.850,2023-12-21 19:14:52.968192,4.142,4.141,113.8,0.7,-3.774,1.683,0.05
2023-12-21 19:14:52.875,2023-12-21 19:14:52.993176,4.027,4.027,112.8,0.3,-3.7,1.573,0.02
2023-12-21 19:14:52.900,2023-12-21 19:14:53.018182,3.922,3.922,111.4,0.0,-3.642,1.446,0.0
2023-12-21 19:14:52.925,2023-12-21 19:14:53.043173,3.795,3.791,109.8,0.9,-3.545,1.317,0.044
2023-12-21 19:14:52.950,2023-12-21 19:14:53.068165,3.649,3.642,108.8,1.6,-3.425,1.211,0.08
2023-12-21 19:14:52.975,2023-12-21 19:14:53.093183,3.507,3.5,104.8,1.6,-3.305,0.948,0.08
2023-12-21 19:14:53.000,2023-12-21 19:14:53.118183,3.403,3.396,102.0,1.6,-3.237,0.756,0.08
2023-12-21 19:14:53.025,2023-12-21 19:14:53.143168,3.327,3.32,98.9,1.6,-3.181,0.566,0.08
2023-12-21 19:14:53.050,2023-12-21 19:14:53.168173,3.247,3.24,96.8,1.6,-3.13,0.423,0.08
2023-12-21 19:14:53.075,2023-12-21 19:14:53.193175,3.197,3.19,94.5,1.6,-3.1,0.279,0.08
2023-12-21 19:14:53.100,2023-12-21 19:14:53.218184,3.168,3.161,91.3,1.6,-3.089,0.092,0.08
2023-12-21 19:14:53.125,2023-12-21 19:14:53.243178,3.171,3.164,88.7,1.6,-3.112,-0.063,0.08
2023-12-21 19:14:53.150,2023-12-21 19:14:53.268175,3.233,3.226,88.8,1.5,-3.169,-0.041,0.07
2023-12-21 19:14:53.175,2023-12-21 19:14:53.293176,3.265,3.262,88.5,0.6,-3.207,-0.053,0.026
2023-12-21 19:14:53.200,2023-12-21 19:14:53.318180,3.325,3.325,87.8,-0.1,-3.277,-0.084,-0.01
2023-12-21 19:14:53.225,2023-12-21 19:14:53.343175,3.38,3.38,91.1,0.2,-3.33,0.106,0.01
2023-12-21 19:14:53.250,2023-12-21 19:14:53.368173,3.397,3.397,93.2,0.2,-3.335,0.221,0.01
2023-12-21 19:14:53.275,2023-12-21 19:14:53.393180,3.448,3.448,96.2,0.2,-3.37,0.394,0.01
2023-12-21 19:14:53.300,2023-12-21 19:14:53.418188,3.548,3.548,98.7,0.2,-3.428,0.571,0.01
2023-12-21 19:14:53.325,2023-12-21 19:14:53.443200,3.632,3.632,102.2,0.1,-3.454,0.802,0.001
2023-12-21 19:14:53.350,2023-12-21 19:14:53.468193,3.67,3.669,106.3,0.2,-3.449,1.04,0.008
